*Begin rocking: 01/07/2025 09:32:24
*Points: 0
*
*notes: 
*Rho-Axis: -2.950
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	-1.0582600	2	93	32	2484	861	125
         1	-1.0582100	2	99	31	2483	907	130
         2	-1.0581600	2	161	43	2436	1112	204
         3	-1.0581000	2	199	50	2410	1241	249
         4	-1.0580500	2	285	70	2310	1402	355
         5	-1.0580100	2	388	99	2319	1597	487
         6	-1.0579600	2	510	189	2557	1742	699
         7	-1.0579000	2	627	241	2454	1938	868
         8	-1.0578400	2	746	359	2439	1930	1105
         9	-1.0578000	2	805	494	2376	1904	1299
        10	-1.0577600	2	821	598	2475	1970	1419
        11	-1.0577000	2	916	713	2370	2011	1629
        12	-1.0576400	2	854	657	2411	1926	1511
        13	-1.0575900	2	741	627	2459	1900	1368
        14	-1.0575400	2	697	552	2512	1838	1249
        15	-1.0575000	2	595	463	2521	1835	1058
        16	-1.0574300	2	435	271	2391	1718	706
        17	-1.0573900	2	383	227	2315	1656	610
        18	-1.0573500	2	345	143	2450	1538	488
*stopped by user: 01/07/2025 09:33:41
