*Begin rocking: 23/09/2025 22:31:06
*Points: 0
*
*notes: 
*Rho-Axis: -1.670
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	-0.0558300	2	5	151	4427	170	156
         1	-0.0557800	2	4	122	4442	180	126
         2	-0.0557400	2	10	140	4342	193	150
         3	-0.0556900	2	10	137	4474	190	147
         4	-0.0556400	2	8	188	4230	227	196
         5	-0.0555900	2	6	173	4383	209	179
         6	-0.0555400	2	5	197	4491	263	202
         7	-0.0554800	2	22	213	4411	300	235
         8	-0.0554400	2	12	205	4337	300	217
         9	-0.0553900	2	15	254	4347	345	269
        10	-0.0553300	2	31	256	4374	359	287
        11	-0.0552800	2	32	298	4469	417	330
        12	-0.0552300	2	31	336	4425	456	367
        13	-0.0551800	2	36	411	4513	465	447
        14	-0.0551400	2	40	386	4382	555	426
        15	-0.0550800	2	76	445	4356	696	521
        16	-0.0550300	2	89	558	4349	777	647
        17	-0.0549800	2	129	675	4529	916	804
        18	-0.0549400	2	146	757	4481	1015	903
        19	-0.0548800	2	272	889	4530	1237	1161
        20	-0.0548300	2	343	1144	4315	1294	1487
        21	-0.0547900	2	527	1341	4297	1632	1868
        22	-0.0547200	2	734	1848	4369	2046	2582
        23	-0.0546800	2	979	2268	4455	2240	3247
        24	-0.0546400	2	1415	2682	4410	2487	4097
        25	-0.0545800	2	1929	3565	4444	3478	5494
        26	-0.0545300	2	2315	4189	4521	4117	6504
        27	-0.0544800	2	2571	4948	4470	5206	7519
        28	-0.0544200	2	2693	5161	4376	6015	7854
        29	-0.0543800	2	2399	5639	4479	5796	8038
        30	-0.0543300	2	2714	5452	4443	5420	8166
        31	-0.0542900	2	3297	4431	4391	5057	7728
        32	-0.0542300	2	3200	4072	4412	4355	7272
        33	-0.0541800	2	2783	3502	4497	3350	6285
        34	-0.0541300	2	2261	3202	4401	2626	5463
        35	-0.0540800	2	1743	2534	4386	2261	4277
        36	-0.0540300	2	1345	2008	4410	1980	3353
        37	-0.0539800	2	979	1672	4393	1768	2651
        38	-0.0539300	2	552	1200	4407	1414	1752
        39	-0.0538700	2	375	975	4348	1330	1350
        40	-0.0538300	2	245	840	4430	1132	1085
        41	-0.0537800	2	205	744	4419	1049	949
        42	-0.0537200	2	163	678	4417	902	841
        43	-0.0536800	2	102	562	4457	775	664
        44	-0.0536300	2	80	498	4326	687	578
        45	-0.0535800	2	69	421	4366	637	490
*stopped by user: 23/09/2025 22:34:08
