*Begin rocking: 27/06/2025 14:22:52
*Points: 0
*
*notes: 
*Rho-Axis: -2.900
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	-1.0020100	2	26	11	2580	343	37
         1	-1.0019600	2	32	15	2670	416	47
         2	-1.0019000	2	35	11	2627	439	46
         3	-1.0018500	2	38	11	2549	515	49
         4	-1.0018000	2	67	19	2612	642	86
         5	-1.0017600	2	95	34	2691	640	129
         6	-1.0017000	2	106	34	2577	822	140
         7	-1.0016500	2	90	21	2533	817	111
         8	-1.0016000	2	119	37	2577	914	156
         9	-1.0015700	2	163	40	2543	1025	203
        10	-1.0015100	2	190	61	2622	1214	251
        11	-1.0014500	2	324	87	2471	1409	411
        12	-1.0013900	2	433	146	2514	1614	579
        13	-1.0013600	2	563	219	2498	1787	782
        14	-1.0013100	2	689	302	2672	1795	991
        15	-1.0012600	2	770	451	2577	1793	1221
        16	-1.0012100	2	861	510	2490	1858	1371
        17	-1.0011600	2	858	650	2539	1845	1508
        18	-1.0011000	2	952	697	2561	1873	1649
        19	-1.0010500	2	883	606	2595	1783	1489
        20	-1.0010100	2	748	577	2518	1846	1325
        21	-1.0009400	2	655	499	2614	1740	1154
        22	-1.0009100	2	560	348	2593	1724	908
        23	-1.0008500	2	494	274	2599	1678	768
        24	-1.0008100	2	352	208	2459	1578	560
        25	-1.0007600	2	289	114	2614	1384	403
        26	-1.0007000	2	253	80	2689	1233	333
        27	-1.0006500	2	154	47	2525	1053	201
        28	-1.0006000	2	111	48	2616	994	159
        29	-1.0005600	2	106	32	2625	894	138
        30	-1.0004900	2	64	25	2649	720	89
        31	-1.0004500	2	57	17	2646	629	74
        32	-1.0004000	2	56	16	2507	572	72
        33	-1.0003500	2	39	23	2560	465	62
        34	-1.0003000	2	30	13	2624	435	43
        35	-1.0002600	2	34	15	2585	389	49
        36	-1.0001900	2	21	13	2701	317	34
        37	-1.0001400	2	19	10	2549	299	29
        38	-1.0000800	2	14	7	2485	286	21
        39	-1.0000300	2	9	6	2611	247	15
        40	-1.0000000	2	19	7	2574	252	26
        41	-0.9999200	2	12	4	2602	237	16
        42	-0.9999100	2	7	5	2543	212	12
        43	-0.9998400	2	4	8	2549	202	12
        44	-0.9997900	2	12	5	2671	186	17
*stopped by user: 27/06/2025 14:25:55
