*Begin rocking: 01/07/2025 09:41:26
*Points: 0
*
*notes: 
*Rho-Axis: -2.950
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	-1.0580900	2	210	84	2440	150	294
         1	-1.0580500	2	236	149	2507	232	385
         2	-1.0580000	2	377	217	2382	394	594
         3	-1.0579500	2	474	333	2446	598	807
         4	-1.0578900	2	475	419	2382	855	894
         5	-1.0578400	2	617	585	2408	1441	1202
         6	-1.0578100	2	635	600	2419	1806	1235
         7	-1.0577400	2	646	672	2431	2105	1318
         8	-1.0577000	2	728	744	2453	2249	1472
         9	-1.0576500	2	648	640	2354	2229	1288
        10	-1.0576000	2	674	600	2408	2137	1274
        11	-1.0575600	2	601	498	2395	2001	1099
        12	-1.0575000	2	532	358	2385	1466	890
        13	-1.0574500	2	485	285	2348	985	770
        14	-1.0574000	2	414	217	2368	631	631
        15	-1.0573600	2	330	139	2390	474	469
*stopped by user: 01/07/2025 09:42:31
