# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-2.010498 30.0 912 15434 195124 2061 3782380304 16346 0.000000 0.000000
-1.812744 30.0 630 17026 194829 1223 3782380340 17656 0.000000 0.000000
-1.614990 30.0 737 16723 194670 1434 3782380377 17460 0.000000 0.000000
-1.395264 30.0 1147 14899 195072 2614 3782380413 16046 0.000000 0.000000
-1.186523 30.0 1784 11717 194682 4578 3782380449 13501 0.000000 0.000000
-0.999756 30.0 2312 9414 194427 6145 3782380485 11726 0.000000 0.000000
-0.812988 30.0 2673 7572 194668 7341 3782380522 10245 0.000000 0.000000
-0.593262 30.0 2531 7582 195398 7236 3782380558 10113 0.000000 0.000000
-0.395508 30.0 2170 9686 195174 5906 3782380594 11856 0.000000 0.000000
-0.208740 30.0 1535 12200 194905 4225 3782380631 13735 0.000000 0.000000
0.010986 30.0 981 14992 194143 2529 3782380667 15973 0.000000 0.000000
0.197754 30.0 705 16592 194986 1432 3782380703 17297 0.000000 0.000000
0.395508 30.0 687 16607 195035 1466 3782380739 17294 0.000000 0.000000
0.604248 30.0 1082 15179 194734 2319 3782380776 16261 0.000000 0.000000
0.791016 30.0 1587 12737 194495 3971 3782380812 14324 0.000000 0.000000
0.999756 30.0 2156 9674 194623 5798 3782380848 11830 0.000000 0.000000
1.186523 30.0 2663 7868 194906 7083 3782380884 10531 0.000000 0.000000
1.395264 30.0 2715 7392 195118 7507 3782380921 10107 0.000000 0.000000
1.593018 30.0 2323 9118 194369 6322 3782380957 11441 0.000000 0.000000
1.812744 30.0 1809 11590 195140 4725 3782380993 13399 0.000000 0.000000
1.999512 30.0 1142 14133 195138 2957 3782381029 15275 0.000000 0.000000
