# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
0.000000 10.0 100 1795 228021 285 3782118364 1895 0.000000 0.000000
0.186768 10.0 115 1808 228109 208 3782118411 1923 0.000000 0.000000
0.395508 10.0 129 2004 228487 155 3782118459 2133 0.000000 0.000000
0.593262 10.0 149 1684 227874 295 3782118506 1833 0.000000 0.000000
0.791016 10.0 197 1370 228424 505 3782118553 1567 0.000000 0.000000
0.999756 10.0 272 1074 228418 731 3782118601 1346 0.000000 0.000000
1.197510 10.0 304 915 228544 830 3782118648 1219 0.000000 0.000000
1.384277 10.0 321 945 228063 868 3782118695 1266 0.000000 0.000000
1.604004 10.0 236 1145 228051 699 3782118742 1381 0.000000 0.000000
1.812744 10.0 192 1415 228403 536 3782118790 1607 0.000000 0.000000
1.988525 10.0 139 1721 228056 337 3782118837 1860 0.000000 0.000000
2.197266 10.0 100 1914 228041 188 3782118884 2014 0.000000 0.000000
2.384033 10.0 103 1873 228189 154 3782118931 1976 0.000000 0.000000
2.603760 10.0 133 1782 228159 271 3782118979 1915 0.000000 0.000000
2.790527 10.0 191 1523 228376 478 3782119026 1714 0.000000 0.000000
2.988281 10.0 268 1145 228263 660 3782119073 1413 0.000000 0.000000
3.197021 10.0 307 919 228226 789 3782119121 1226 0.000000 0.000000
3.394775 10.0 296 891 228378 822 3782119168 1187 0.000000 0.000000
3.603516 10.0 265 1138 228927 705 3782119216 1403 0.000000 0.000000
3.790283 10.0 174 1391 228266 505 3782119263 1565 0.000000 0.000000
3.999023 10.0 117 1755 228146 331 3782119311 1872 0.000000 0.000000
