#  ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2
-1.999512 10.0 257 2228 59330 541 3776924222 2485 0.000000 0.000000
-1.801758 10.0 183 2717 59661 250 3776924238 2900 0.000000 0.000000
-1.604004 10.0 106 2964 60299 109 3776924255 3070 0.000000 0.000000
-1.395264 10.0 96 2735 59982 266 3776924272 2831 0.000000 0.000000
-1.208496 10.0 177 2358 59780 546 3776924289 2535 0.000000 0.000000
-0.999756 10.0 274 1916 59470 903 3776924305 2190 0.000000 0.000000
-0.812988 10.0 340 1489 60486 1097 3776924322 1829 0.000000 0.000000
-0.604248 10.0 428 1331 60187 1185 3776924339 1759 0.000000 0.000000
-0.395508 10.0 441 1538 59981 1081 3776924356 1979 0.000000 0.000000
-0.197754 10.0 332 1939 59702 721 3776924372 2271 0.000000 0.000000
-0.010986 10.0 213 2507 59696 394 3776924389 2720 0.000000 0.000000
0.186768 10.0 151 2789 60008 148 3776924406 2940 0.000000 0.000000
0.395508 10.0 102 2905 59562 134 3776924423 3007 0.000000 0.000000
0.593262 10.0 77 2842 59619 206 3776924439 2919 0.000000 0.000000
0.791016 10.0 156 2420 59571 490 3776924456 2576 0.000000 0.000000
0.999756 10.0 257 1942 60120 816 3776924473 2199 0.000000 0.000000
1.186523 10.0 337 1494 61093 1148 3776924490 1831 0.000000 0.000000
1.384277 10.0 422 1368 60227 1169 3776924507 1790 0.000000 0.000000
1.593018 10.0 434 1525 60716 1156 3776924524 1959 0.000000 0.000000
1.801758 10.0 357 1914 60649 782 3776924541 2271 0.000000 0.000000
1.999512 10.0 269 2330 60108 466 3776924558 2599 0.000000 0.000000
