# chi w_im1 w_im1_err w_im2 w_im2_err
-6.599839254495901919e+00 3.547805539627833099e-02 2.949537036433429876e-02 -1.073647376349737836e-01 2.896018236602872567e-02
-6.099953960394821628e+00 -5.762457515470915947e-02 2.952505839805682347e-02 -3.156121268757852011e-02 2.896601759051390182e-02
-5.700045725113957573e+00 -1.288292445222116167e-01 3.032198991294019624e-02 1.927838398312141932e-01 2.979223442145704712e-02
-5.269841411402723885e+00 -2.435903076996568939e-01 3.352754284039394239e-02 2.441720987953466537e-01 3.290078304152370403e-02
-4.836607489848454122e+00 -3.410686961379175153e-01 4.085699998617413342e-02 4.234916380122386581e-01 4.028132252296103000e-02
-4.436699254567590067e+00 -6.032158226285274649e-01 5.396815061027585014e-02 5.536413002587967647e-01 5.276243262065774542e-02
-4.003465333013320304e+00 -8.173596010308828985e-01 8.485740800010799223e-02 6.567829717011561819e-01 8.167778487388355213e-02
-3.536905725185645277e+00 -6.287755362626852307e-01 1.366999495111194118e-01 6.809906996310681748e-01 1.353218536678901240e-01
-3.140027097747817741e+00 2.746771619966733025e-01 1.937451432266926454e-01 -1.552813004357744275e-01 1.889415434515570591e-01
-2.673467489920142270e+00 7.081112841576874262e-01 1.305896742641332597e-01 -9.085577009692805683e-01 1.326135344935851501e-01
-2.273559254639278215e+00 7.836189857995310426e-01 7.499352424780575399e-02 -7.909942159345731971e-01 7.379092811655547923e-02
-1.773673960538197703e+00 5.283351808926256554e-01 5.093242143769343561e-02 -5.334082252303619098e-01 5.002991476289370132e-02
-1.373765725257333425e+00 3.423681278988994769e-01 3.875420597990642674e-02 -3.482419352417179814e-01 3.804484184602244939e-02
-8.738804311562529126e-01 2.028946947555057556e-01 3.319866816046287278e-02 -2.231676352193803226e-01 3.259542921419471273e-02
-4.770018037184251547e-01 1.327591671374687421e-01 3.039801661151835671e-02 -1.050989847417402312e-01 2.981463468507358772e-02
-4.376788216415539168e-02 -3.084756924347990120e-02 2.917274124712963476e-02 5.142274459205416898e-02 2.862766278338086876e-02
3.894660393901143713e-01 -9.606807255412905255e-02 2.971236245749313970e-02 9.543955789860085470e-02 2.915405554300028179e-02
8.560256472177893983e-01 -2.332803547404583289e-01 3.219379054541662150e-02 1.965966840717745245e-01 3.155806589739396789e-02
1.255933882498653453e+00 -2.993230263495328392e-01 3.695117432551466019e-02 4.086756266146625016e-01 3.645721532760384104e-02
1.652812509936480989e+00 -5.063274006581020004e-01 4.733339103888929700e-02 4.879382994612683766e-01 4.640632073491481741e-02
2.119372117764156904e+00 -7.129407882678027164e-01 6.786768994006978084e-02 6.618939020049156019e-01 6.629479832811541185e-02
2.585931725591831487e+00 -8.793101924756351329e-01 1.195462564396761462e-01 1.136028541649656720e+00 1.232743212671192079e-01
