# chi cos2 cos2err
-1.516000000000000014e+00 9.548758687628408097e+02 9.700435284863708318e+00
-1.350999999999999979e+00 9.534758687628407188e+02 9.696826528087878927e+00
-1.219000000000000083e+00 9.132758687628407870e+02 9.592624495716949085e+00
-1.076999999999999957e+00 7.775758687628406278e+02 9.232196093878684451e+00
-9.340000000000000524e-01 5.715758687628406278e+02 8.656410613864665038e+00
-8.020000000000000462e-01 3.875258687628406733e+02 8.107462285809834412e+00
-6.590000000000000302e-01 2.162758687628406733e+02 7.560981729631994774e+00
-5.050000000000000044e-01 1.161258687628406676e+02 7.222253437524111419e+00
-3.739999999999999991e-01 7.427586876284067330e+01 7.075905928983852178e+00
-2.200000000000000011e-01 1.242258687628406761e+02 7.250237562716743689e+00
-8.799999999999999489e-02 2.527758687628406733e+02 7.680719023361604059e+00
7.699999999999999900e-02 4.175758687628406847e+02 8.199600277807988391e+00
2.089999999999999913e-01 6.207258687628407188e+02 8.797212326403679228e+00
3.739999999999999991e-01 7.886258687628406960e+02 9.262070217604099653e+00
5.050000000000000044e-01 9.095758687628407415e+02 9.582976819121959977e+00
6.480000000000000204e-01 9.726258687628408097e+02 9.746073297273564862e+00
7.910000000000000364e-01 9.440258687628407870e+02 9.672432202700045778e+00
9.449999999999999512e-01 8.304758687628407188e+02 9.374350362335984954e+00
1.076999999999999957e+00 6.672258687628407188e+02 8.928378616290242320e+00
1.207999999999999963e+00 4.641258687628406960e+02 8.340320420453211980e+00
1.362000000000000099e+00 2.857258687628406619e+02 7.787229591827175668e+00
1.516000000000000014e+00 1.425758687628406847e+02 7.313237635673329962e+00
