# chi cos2 cos2err
-1.504999999999999893e+00 9.365964972433870344e+02 1.137120237523107669e+01
-1.372999999999999998e+00 1.018929830576720292e+03 1.166899115474735460e+01
-1.219000000000000083e+00 9.684298305767202919e+02 1.148725473018852483e+01
-1.076999999999999957e+00 8.550964972433870344e+02 1.106853995754608100e+01
-9.449999999999999512e-01 6.668464972433869207e+02 1.033562174190765326e+01
-7.910000000000000364e-01 4.635131639100536063e+02 9.480539665406698902e+00
-6.480000000000000204e-01 2.538464972433869207e+02 8.509313140619960691e+00
-5.050000000000000044e-01 1.391798305767202635e+02 7.927979223583521140e+00
-3.629999999999999893e-01 8.592983057672024927e+01 7.642993822421419559e+00
-2.310000000000000109e-01 1.150964972433869207e+02 7.800378844974615866e+00
-7.699999999999999900e-02 2.165131639100535779e+02 8.324499925762292918e+00
7.699999999999999900e-02 4.118464972433869207e+02 9.250679801603459040e+00
2.200000000000000011e-01 6.006798305767202919e+02 1.006534589087256926e+01
3.519999999999999796e-01 7.991798305767202919e+02 1.085600546101428421e+01
4.939999999999999947e-01 9.509298305767202919e+02 1.142360222972181738e+01
6.480000000000000204e-01 9.922631639100536631e+02 1.157338033365143382e+01
7.910000000000000364e-01 9.844298305767202919e+02 1.154514419873446052e+01
9.230000000000000426e-01 8.807631639100536631e+02 1.116474207855618594e+01
1.076999999999999957e+00 6.947631639100536631e+02 1.044755788118367335e+01
1.207999999999999963e+00 4.785964972433869207e+02 9.546600274013476550e+00
1.350999999999999979e+00 2.996798305767202351e+02 8.730856462545467878e+00
1.516000000000000014e+00 1.475964972433869207e+02 7.972091536006147727e+00
