# chi w_re1 w_re1_err w_re2 w_re2_err
-6.599839254495901919e+00 4.021950722813280588e-01 1.176104268775947231e-01 7.114919826875147901e-01 1.164649248970291290e-01
-6.099953960394821628e+00 7.315804214947280171e-02 2.068824515824946031e-01 4.464148332759099169e-02 2.017421125947352345e-01
-5.700045725113957573e+00 2.446443585403156873e-01 7.886104124318435438e-02 6.971034947161126594e-01 8.037831462819747252e-02
-5.269841411402723885e+00 3.747942196326010111e-01 5.857883338198194290e-02 7.186239752264633740e-01 5.769387887831443906e-02
-4.836607489848454122e+00 3.226666187196078894e-01 5.742175172736989353e-02 7.817526717858236385e-01 5.651138265480774164e-02
-4.436699254567590067e+00 1.386866324503914227e-01 6.788895046420932722e-02 8.558768187063476862e-01 6.669240608816449922e-02
-4.003465333013320304e+00 -1.440564475149300194e-01 1.067975432010977305e-01 1.049377855357180866e+00 1.048128521049245671e-01
-3.536905725185645277e+00 -2.829710675885031002e-01 2.703324400729223975e-01 1.579757637956761052e+00 2.633719696372679442e-01
-3.140027097747817741e+00 -6.137297996038112302e+01 8.340219963266127934e+01 1.284917223970417126e+02 8.210543837406621037e+01
-2.673467489920142270e+00 -4.891818165870420732e-01 2.215304829547408705e-01 1.619339013844500741e+00 2.220014109233762745e-01
-2.273559254639278215e+00 -7.091356789829939000e-02 9.661103072308376005e-02 1.061097055123215505e+00 9.411109571919111516e-02
-1.773673960538197703e+00 1.237006503057616613e-01 6.363544279874476517e-02 9.237880291560999213e-01 6.370111979668287294e-02
-1.373765725257333425e+00 3.050583662441809230e-01 5.422752094221196945e-02 7.015030438109359778e-01 5.314209331890971250e-02
-8.738804311562529126e-01 3.852918459296149623e-01 5.882580606751106750e-02 6.739588895028496562e-01 5.739329348268967096e-02
-4.770018037184251547e-01 3.960451372133250159e-01 8.832467577732203146e-02 8.667159809591005182e-01 9.138996789578983371e-02
-4.376788216415539168e-02 -5.994792186336093121e-01 8.182075000326224368e-01 -1.266339837885675390e+00 7.980542832206855008e-01
3.894660393901143713e-01 2.902890152617096930e-01 9.444788213095811624e-02 7.118867992173621984e-01 9.588314177174296626e-02
8.560256472177893983e-01 3.422345193140843289e-01 5.745016461934578100e-02 6.825841650220216827e-01 5.655654838328080108e-02
1.255933882498653453e+00 2.873689155298042586e-01 5.194782697360886270e-02 7.306940247857318660e-01 5.112249185349193592e-02
1.652812509936480989e+00 1.274969037741315869e-01 5.674961200905247194e-02 7.227032482519013534e-01 5.575832068432172439e-02
2.119372117764156904e+00 -9.237312919368118047e-02 8.190954932409041933e-02 8.970853331840771272e-01 8.063639709303253855e-02
2.585931725591831487e+00 -4.763626943336051189e-01 1.817653487237859689e-01 1.669600265431961494e+00 1.816377409900920281e-01
