# chi w_im1 w_im1_err w_im2 w_im2_err
-6.757408708032835776e+00 1.230111428863365497e-01 3.830860061298252406e-02 -8.672346485755308421e-02 3.757402744037832004e-02
-6.347734884241127418e+00 6.879157355610804325e-02 3.643034836312702279e-02 -2.076748059930976636e-02 3.573780615030718033e-02
-5.869782089817467075e+00 -9.892049908060812635e-02 3.754737896234924821e-02 8.434093408909301703e-02 3.683695160908329741e-02
-5.429072370283961391e+00 -2.483497944862038953e-01 4.054816361482824899e-02 2.138309006061104300e-01 3.975481462758425483e-02
-5.019398546492253033e+00 -4.423890165611423231e-01 4.755584472132821927e-02 4.037547797284771756e-01 4.659044870867986438e-02
-4.541445752068592689e+00 -4.707452634807139380e-01 6.015529194918536882e-02 4.231470095983755342e-01 5.889736897399150406e-02
-4.097632442960907895e+00 -5.805576191247072693e-01 9.219477256950957267e-02 6.689436038304880094e-01 9.122117467960641490e-02
-3.653819133853223100e+00 -7.833134315163666761e-01 1.496487479002008569e-01 9.725187210573060792e-01 1.507083121197509701e-01
-3.213109414319717860e+00 4.049400207827911213e-01 2.162519680764973806e-01 4.641213885921086635e-01 2.132578205278928274e-01
-2.803435590528009058e+00 7.792197918375933785e-01 1.749101316978529941e-01 -7.174336898382661643e-01 1.706806210240008337e-01
-2.325482796104348271e+00 7.070178256661112659e-01 1.049449055714241075e-01 -8.419007923410091188e-01 1.045918804777339756e-01
-1.847530001680687928e+00 6.249675191894263904e-01 6.575620789190725346e-02 -4.941230446779032448e-01 6.399104429453224274e-02
-1.403716692573003133e+00 3.873945517773886293e-01 5.065683852192985615e-02 -3.561106599416570817e-01 4.965051640056085402e-02
-9.940428687812941089e-01 2.237737904937203981e-01 4.221159824623605533e-02 -3.057473132605929567e-01 4.151986729293088291e-02
-5.533331492477890912e-01 8.939397452873751315e-02 3.795102559971020445e-02 -1.267137621487542110e-01 3.725427656007862520e-02
-7.538035482412830390e-02 2.705217111981668074e-02 3.699521779693837331e-02 4.466783393279390169e-02 3.630249764257121453e-02
3.684329542835564908e-01 -3.860404341413515433e-02 3.716987856958311326e-02 8.525288401953112771e-02 3.648268639771271721e-02
7.781067780752652929e-01 -1.812308054193899898e-01 3.977468425540185010e-02 2.119042966808777351e-01 3.905426115148283306e-02
1.256059572498925636e+00 -3.319542200865882586e-01 4.614282685720286908e-02 1.959618982054676661e-01 4.510026933314788267e-02
1.662629806716454883e+00 -5.238237035467626646e-01 5.907907925949802685e-02 5.058721069115809099e-01 5.793436710063150363e-02
2.106443115824140122e+00 -6.453625583514709385e-01 8.216670097119707639e-02 8.064653346752329588e-01 8.192498131177795850e-02
2.618535395563776014e+00 -9.523386835346439039e-01 1.456804181641324081e-01 7.638962469203768313e-01 1.399436492296307899e-01
