# BinNR microsec O-Beam AUX chi(deg)
176.000 3600.010 50 163 -80.000
177.000 3600.010 49 182 -80.000
178.000 3600.010 50 170 -80.000
179.000 3600.010 41 139 -80.000
180.000 3600.010 44 153 -80.000
181.000 3600.010 46 130 -80.000
182.000 3600.010 49 129 -80.000
183.000 3600.010 45 121 -80.000
184.000 3600.010 38 110 -80.000
185.000 3600.010 51 95 -80.000
186.000 3600.010 41 89 -80.000
187.000 3600.010 59 101 -80.000
188.000 3600.010 57 91 -80.000
189.000 3600.010 50 99 -80.000
190.000 3600.010 34 141 -80.000
191.000 3600.010 43 141 -80.000
192.000 3600.010 49 146 -80.000
193.000 3600.010 38 156 -80.000
194.000 3600.010 45 184 -80.000
195.000 3600.010 38 164 -80.000
196.000 3600.010 46 147 -80.000
197.000 3600.010 43 144 -80.000
198.000 3600.010 43 126 -80.000
199.000 3600.010 37 117 -80.000
200.000 3600.010 47 106 -80.000
201.000 3600.010 49 92 -80.000
202.000 3600.010 47 73 -80.000
203.000 3600.010 47 96 -80.000
204.000 3600.010 45 111 -80.000
205.000 3600.010 51 119 -80.000
206.000 3600.010 49 140 -80.000
207.000 3600.010 60 136 -80.000
208.000 3600.010 50 175 -80.000
209.000 3600.010 39 143 -80.000
210.000 3600.010 47 185 -80.000
211.000 3600.010 51 149 -80.000
212.000 3600.010 49 172 -80.000
213.000 3600.010 54 143 -80.000
214.000 3600.010 43 139 -80.000
215.000 3600.010 48 129 -80.000
216.000 3600.010 44 125 -80.000
217.000 3600.010 36 128 -80.000
218.000 3600.010 57 122 -80.000
219.000 3600.010 57 89 -80.000
220.000 3600.010 52 99 -80.000
221.000 3600.010 42 100 -80.000
222.000 3600.010 41 112 -80.000
223.000 3600.010 42 106 -80.000
224.000 3600.010 59 138 -80.000
225.000 3600.010 47 144 -80.000
226.000 3600.010 47 144 -80.000
227.000 3600.010 38 142 -80.000
228.000 3600.010 40 120 -80.000
229.000 3600.010 50 162 -80.000
230.000 3600.010 49 137 -80.000
231.000 3600.010 54 139 -80.000
232.000 3600.010 40 130 -80.000
233.000 3600.010 47 125 -80.000
234.000 3600.010 42 126 -80.000
235.000 3600.010 50 100 -80.000
236.000 3600.010 44 100 -80.000
237.000 3600.010 45 107 -80.000
238.000 3600.010 49 122 -80.000
239.000 3600.010 44 123 -80.000
240.000 3600.010 37 118 -80.000
241.000 3600.010 40 127 -80.000
242.000 3600.010 45 126 -80.000
243.000 3600.010 43 124 -80.000
244.000 3600.010 53 123 -80.000
245.000 3600.010 42 126 -80.000
246.000 3600.010 51 133 -80.000
247.000 3600.010 47 128 -80.000
248.000 3600.010 39 121 -80.000
249.000 3600.010 46 119 -80.000
250.000 3600.010 40 118 -80.000
251.000 3600.010 50 121 -80.000
252.000 3600.010 53 117 -80.000
253.000 3600.010 50 126 -80.000
254.000 3600.010 48 127 -80.000
255.000 3600.010 61 125 -80.000
256.000 3600.010 64 117 -80.000
257.000 3600.010 43 125 -80.000
258.000 3600.010 65 150 -80.000
259.000 3600.010 53 106 -80.000
260.000 3600.010 44 141 -80.000
261.000 3600.010 42 110 -80.000
262.000 3600.010 38 111 -80.000
263.000 3600.010 50 118 -80.000
264.000 3600.010 40 124 -80.000
265.000 3600.010 42 105 -80.000
266.000 3600.010 43 130 -80.000
267.000 3600.010 44 114 -80.000
268.000 3600.010 38 139 -80.000
269.000 3600.010 51 118 -80.000
270.000 3600.010 55 153 -80.000
271.000 3600.010 47 133 -80.000
272.000 3600.010 49 126 -80.000
273.000 3600.010 38 139 -80.000
274.000 3600.010 48 127 -80.000
275.000 3600.010 53 125 -80.000
276.000 3600.010 47 127 -80.000
277.000 3600.010 67 92 -80.000
278.000 3600.010 49 104 -80.000
279.000 3600.010 47 116 -80.000
280.000 3600.010 46 118 -80.000
281.000 3600.010 40 100 -80.000
282.000 3600.010 47 112 -80.000
283.000 3600.010 46 123 -80.000
284.000 3600.010 53 120 -80.000
285.000 3600.010 37 119 -80.000
286.000 3600.010 61 150 -80.000
287.000 3600.010 60 141 -80.000
288.000 3600.010 53 140 -80.000
289.000 3600.010 48 135 -80.000
290.000 3600.010 56 159 -80.000
291.000 3600.010 48 120 -80.000
292.000 3600.010 67 127 -80.000
293.000 3600.010 55 121 -80.000
294.000 3600.010 54 116 -80.000
295.000 3600.010 45 105 -80.000
296.000 3600.010 46 116 -80.000
297.000 3600.010 57 98 -80.000
298.000 3600.010 48 100 -80.000
299.000 3600.010 39 132 -80.000
300.000 3600.010 42 132 -80.000
301.000 3600.010 39 140 -80.000
302.000 3600.010 48 131 -80.000
303.000 3600.010 50 150 -80.000
304.000 3600.010 25 74 -80.000
