# chi(pi) gamma err
1.079936519999999973e+02 5.916656941808741410e-02 6.238602666915745582e-02
1.080747070000000036e+02 1.990834119550353165e-01 6.880810409915867620e-02
1.081499019999999973e+02 2.794604011147149292e-01 6.747141680553231380e-02
1.082255860000000069e+02 2.907800593162311320e-01 7.385749803835979510e-02
1.082998050000000063e+02 -4.097322782989595152e-02 7.791793479064898498e-02
1.083750000000000000e+02 -3.024486986971256508e-01 8.562300843660815286e-02
1.084501949999999937e+02 -3.550077997263300644e-01 7.575957211600828356e-02
1.085249019999999973e+02 -2.771456340715922062e-01 7.748748354393221460e-02
1.086000980000000027e+02 -1.966127523406564215e-01 6.194793763890373700e-02
1.086748050000000063e+02 -8.933107877336152192e-02 5.034766727430411287e-02
1.087500000000000000e+02 5.318629142352584299e-02 6.726984590494308747e-02
1.088251949999999937e+02 1.705500564303026323e-01 5.708049414260187027e-02
1.088999019999999973e+02 3.296853306315855048e-01 6.550831762547627835e-02
1.089746090000000009e+02 3.521665546583969686e-01 6.404527967724617243e-02
1.090502929999999964e+02 1.815266774886717949e-01 7.766678954290780201e-02
1.091254880000000043e+02 -2.429862963712257351e-01 7.425867515238104843e-02
1.092001949999999937e+02 -3.643777266547662541e-01 6.752475687844543273e-02
1.092744139999999931e+02 -3.612148689956730663e-01 6.866052143634500393e-02
1.093500980000000027e+02 -2.811369549685708846e-01 7.577650051733979264e-02
1.094252929999999964e+02 -1.175357613045571875e-01 6.874032905864611853e-02
1.095000000000000000e+02 -1.954208439044019530e-02 6.366669905528185569e-02
1.095747070000000036e+02 9.627812087916552686e-02 5.640275215736393483e-02
1.096503909999999991e+02 2.076087134302766202e-01 6.907063810197441867e-02
1.097250980000000027e+02 2.936328373467571029e-01 7.189704699866338033e-02
1.097998050000000063e+02 2.642896759439129495e-01 6.197283557329052311e-02
1.098750000000000000e+02 -2.080468632944442765e-03 8.059320135978932653e-02
1.099497070000000036e+02 -2.729357106804273791e-01 7.028169435047156022e-02
1.100253909999999991e+02 -4.545873076484774900e-01 7.360123198156751090e-02
1.100996090000000009e+02 -2.957463145436114993e-01 6.516466886864905050e-02
