# chi(pi) gamma err
1.079936519999999973e+02 5.544077628919030255e-03 6.187352390959029863e-02
1.080747070000000036e+02 -4.747578031040761148e-02 5.754950345744548612e-02
1.081499019999999973e+02 -1.582411347601853646e-01 6.023876186998694537e-02
1.082250980000000027e+02 -2.315504175366562001e-01 6.897558882177688699e-02
1.082998050000000063e+02 -2.205631225274673757e-01 6.243344815718118029e-02
1.083750000000000000e+02 -6.948364592321441824e-02 8.696808424540687643e-02
1.084501949999999937e+02 2.253403368467287171e-01 9.058723081468375571e-02
1.085253909999999991e+02 3.914869328570788065e-01 7.229662714191251172e-02
1.085996090000000009e+02 3.398816302160861391e-01 6.656768420843574285e-02
1.086748050000000063e+02 2.053152486254435360e-01 5.413437012831816969e-02
1.087500000000000000e+02 1.004236740320133825e-01 6.228029484885289763e-02
1.088251949999999937e+02 -3.818925810767798829e-02 6.256463957240844531e-02
1.088999019999999973e+02 -1.184028812721142770e-01 5.846899938912589190e-02
1.089750980000000027e+02 -2.558539847029099312e-01 6.845730177718925558e-02
1.090502929999999964e+02 -3.240661186823213802e-01 8.334630984645949314e-02
1.091250000000000000e+02 -3.094599086908603192e-01 8.156289680360964689e-02
1.092001949999999937e+02 4.441683559415154220e-02 6.851529400853074991e-02
1.092749019999999973e+02 3.140134695034307866e-01 8.308459486508257275e-02
1.093500980000000027e+02 3.464850458320865023e-01 6.848654473246959529e-02
1.094248050000000063e+02 2.741396409836467374e-01 6.279832904958103368e-02
1.095000000000000000e+02 1.424518447429032886e-01 6.146929180003728177e-02
1.095751949999999937e+02 1.100155782287385101e-02 8.227333139586584521e-02
1.096499019999999973e+02 -3.784653929418120566e-02 8.015128232307131007e-02
1.097250980000000027e+02 -1.813919637132350438e-01 7.249498994881868608e-02
1.097998050000000063e+02 -2.226531130131644554e-01 6.240668164079185565e-02
1.098754880000000043e+02 -2.518353401164712402e-01 6.935246861409770369e-02
1.099497070000000036e+02 -2.115965637580744241e-01 7.423010397210540179e-02
1.100249019999999973e+02 1.177947156563710213e-01 7.973573623332069760e-02
1.100996090000000009e+02 3.490864052870240597e-01 7.066076735308447765e-02
1.101748050000000063e+02 2.974773311021094990e-01 6.303187099021063944e-02
1.102504880000000043e+02 1.921858717079560352e-01 7.198635397053129714e-02
