# chi(pi) gamma err
1.079941409999999991e+02 2.073700537047175052e-01 1.573474358348827817e-01
1.080747070000000036e+02 -4.136733478205411041e-01 1.588333906430514642e-01
1.081499019999999973e+02 -4.955871204629811455e-01 1.301295506213723807e-01
1.082250980000000027e+02 -4.753188806927343690e-01 1.399001388215684871e-01
1.082998050000000063e+02 -2.426503909664127490e-01 1.401857199533331766e-01
1.083750000000000000e+02 -1.590533389663105479e-01 1.231719021514678103e-01
1.084501949999999937e+02 5.442797096865902018e-02 1.217862726518577215e-01
1.085253909999999991e+02 1.272958948688742153e-01 1.072697796369266182e-01
1.085996090000000009e+02 2.382756379386889722e-01 1.309631056441949715e-01
1.086748050000000063e+02 5.771231564588900076e-01 1.311410080002143319e-01
1.087500000000000000e+02 3.083160773681251632e-01 1.681395501968671602e-01
1.088251949999999937e+02 -3.884059735307496264e-01 1.484495581100414296e-01
1.088999019999999973e+02 -6.343051409090363357e-01 1.400198746051351528e-01
1.089750980000000027e+02 -4.712850699298543056e-01 1.503769436914433044e-01
1.090502929999999964e+02 -3.369608825599093582e-01 1.142306709099319278e-01
1.091250000000000000e+02 -1.994923620657328145e-01 1.179374216684915821e-01
1.092001949999999937e+02 -1.670254285820569479e-02 1.163812047005199357e-01
1.092749019999999973e+02 9.095335161848434880e-02 1.201687420203249174e-01
1.093500980000000027e+02 3.406513683198374998e-01 1.164151946758706230e-01
1.094248050000000063e+02 4.874834106914628928e-01 1.424255392166839107e-01
1.095000000000000000e+02 4.229065741391366262e-01 1.619518086705736548e-01
1.095751949999999937e+02 -1.244316968424936665e-01 1.765256329315246508e-01
1.096499019999999973e+02 -5.375782131778064077e-01 1.508938113245616164e-01
1.097250980000000027e+02 -5.967113080284788262e-01 1.394695567075847908e-01
1.097998050000000063e+02 -3.946146154789884619e-01 1.554905168714707520e-01
1.098754880000000043e+02 -2.752709158516065679e-01 1.147085959185253912e-01
1.099501949999999937e+02 -9.117630539024378089e-02 1.144348191473170406e-01
1.100249019999999973e+02 8.017292665982621303e-02 1.273244732074211572e-01
1.100996090000000009e+02 2.622957729898134360e-01 1.435455979635089363e-01
1.101748050000000063e+02 3.179417098120075891e-01 1.293571434801890629e-01
1.102504880000000043e+02 4.800732272158841907e-01 1.453961713282555246e-01
