# chi(pi) gamma err
1.079941409999999991e+02 1.436996682408328285e-01 1.193603646448715971e-01
1.080747070000000036e+02 4.954691538396956835e-02 1.250654277370059630e-01
1.081499019999999973e+02 -8.334307398568453762e-02 1.123835571277327222e-01
1.082250980000000027e+02 -1.777055232635619542e-01 1.179301858184362839e-01
1.082998050000000063e+02 -2.540749166798704772e-01 1.301137462125245836e-01
1.083750000000000000e+02 -3.273161599800110122e-01 1.483318274185799479e-01
1.084501949999999937e+02 -1.012366341183121715e-01 1.255650437432791755e-01
1.085253909999999991e+02 1.245563741387897688e-01 1.803300398115587899e-01
1.085996090000000009e+02 3.483090277208558683e-01 1.455433627078681069e-01
1.086748050000000063e+02 2.972412255053671348e-01 1.479972498386563640e-01
1.087500000000000000e+02 1.331011122287772686e-01 1.339370231108428511e-01
1.088251949999999937e+02 1.479379853645620968e-01 1.353178408717902459e-01
1.088999019999999973e+02 -5.215539089294646963e-02 1.205656748009176354e-01
1.089750980000000027e+02 -2.103750781332315578e-01 1.315523621061156223e-01
1.090502929999999964e+02 -2.554344125801120691e-01 1.485759364186393094e-01
1.091250000000000000e+02 -3.677652130272069941e-01 1.273909177085657263e-01
1.092001949999999937e+02 -3.705963289983523201e-01 1.496791570923762249e-01
1.092749019999999973e+02 -4.948831585119452259e-02 1.597152628312102085e-01
1.093500980000000027e+02 2.910050972267481662e-01 1.684088359216611708e-01
1.094248050000000063e+02 2.835196060484772018e-01 1.414344697871171563e-01
1.095000000000000000e+02 2.326271237340593878e-01 1.111694620026114771e-01
1.095751949999999937e+02 1.886701081174586569e-01 1.451100199920385414e-01
1.096499019999999973e+02 4.500420552653443262e-02 1.284661897762898741e-01
1.097250980000000027e+02 -9.983524249550307372e-02 1.128188356020385502e-01
1.097998050000000063e+02 -2.300494346798678258e-01 1.378309909999696770e-01
1.098754880000000043e+02 -2.683300280447709629e-01 1.336800169606314481e-01
1.099497070000000036e+02 -2.712907364086004636e-01 1.709532011133193807e-01
1.100249019999999973e+02 -1.575147842557329814e-01 1.452183616687857115e-01
1.100996090000000009e+02 1.983503556109363908e-01 1.493525940519869477e-01
1.101748050000000063e+02 2.115950719907640776e-01 1.177257750058967184e-01
1.102504880000000043e+02 2.016961581642659762e-01 1.426292912688931491e-01
