# chi(pi) gamma err
1.079936519999999973e+02 1.218082766520409560e-01 1.668151098137769517e-01
1.080747070000000036e+02 4.003485453521269388e-01 1.555343655442655015e-01
1.081499019999999973e+02 3.926205042440634729e-01 1.304419530151364193e-01
1.082255860000000069e+02 1.776088297222090662e-01 1.216636928854840510e-01
1.082998050000000063e+02 6.785328975638160731e-02 1.091091895250714539e-01
1.083750000000000000e+02 3.959054845449690163e-02 1.266353518705483350e-01
1.084501949999999937e+02 -1.189591824311168472e-01 1.218477429182988209e-01
1.085249019999999973e+02 -3.388011451909224703e-01 1.226648452551344637e-01
1.086000980000000027e+02 -4.702736414230974660e-01 1.325400459911031392e-01
1.086748050000000063e+02 -3.920594932033731883e-01 1.778020101352709714e-01
1.087500000000000000e+02 -3.464653669746908110e-02 1.407158493963384938e-01
1.088251949999999937e+02 3.933021590396608702e-01 1.627180855025655015e-01
1.088999019999999973e+02 4.138006241150267162e-01 1.276351735706103552e-01
1.089746090000000009e+02 4.095983063911608490e-01 1.274350889863608005e-01
1.090502929999999964e+02 1.085190242150732287e-01 1.303800998621265361e-01
1.091254880000000043e+02 -1.936055915456414214e-02 1.211563647735382915e-01
1.092001949999999937e+02 -6.596486758475358925e-02 1.244860916949471347e-01
1.092744139999999931e+02 -2.891652602233959479e-01 1.395281509975108691e-01
1.093500980000000027e+02 -2.858830766070185048e-01 1.715690338289671546e-01
1.094252929999999964e+02 -6.361174716236954740e-01 2.182133140373561653e-01
1.095000000000000000e+02 -4.317341287207165923e-01 1.582502795492752579e-01
1.095747070000000036e+02 2.804028104854912051e-01 1.873489186742282320e-01
1.096503909999999991e+02 3.023309000658008783e-01 1.878850708438376538e-01
1.097250980000000027e+02 4.020296841450672898e-01 1.550806568783215655e-01
1.097998050000000063e+02 2.411937272134741239e-01 1.464721609796251767e-01
1.098750000000000000e+02 1.814893269282748939e-02 1.171638059152503297e-01
1.099497070000000036e+02 -8.796500690398649513e-02 1.155718787242517170e-01
1.100253909999999991e+02 -1.881178245775544655e-01 1.130501754025547839e-01
1.100996090000000009e+02 -4.047636727970048698e-01 1.552143060745849457e-01
1.101748050000000063e+02 -3.958442066740082144e-01 1.653781129839264341e-01
1.102500000000000000e+02 -4.275946011281414050e-01 1.619502910794689554e-01
