# chi(pi) gamma err
1.079936519999999973e+02 3.336191756612961745e-01 7.527465368501287668e-02
1.080747070000000036e+02 2.069905940225460761e-01 6.317146387332414625e-02
1.081499019999999973e+02 1.572146872452660771e-01 7.806229785375615182e-02
1.082255860000000069e+02 2.564135285236456702e-02 6.113763525461193143e-02
1.082998050000000063e+02 -9.761568534772832595e-02 5.653178726199212939e-02
1.083750000000000000e+02 -2.107139548475730484e-01 5.898042807308534474e-02
1.084501949999999937e+02 -3.102602160262793451e-01 8.069086585298976266e-02
1.085249019999999973e+02 -3.046530005245417505e-01 5.950918253920450124e-02
1.086000980000000027e+02 -2.396853656323019721e-01 7.230776619451363685e-02
1.086748050000000063e+02 9.704198985186561488e-02 8.430097399735386743e-02
1.087500000000000000e+02 2.587788775475756697e-01 7.247690651943994311e-02
1.088251949999999937e+02 3.014997167995542293e-01 6.099330704019959026e-02
1.088999019999999973e+02 2.306590726314084461e-01 5.938349167912772286e-02
1.089746090000000009e+02 7.017971016708023091e-02 6.141772572542907732e-02
1.090502929999999964e+02 -8.327405524992365082e-03 6.105488874848523373e-02
1.091254880000000043e+02 -1.561890212026164348e-01 6.601775119636348055e-02
1.092001949999999937e+02 -2.293997042661953534e-01 7.452705831740789877e-02
1.092744139999999931e+02 -3.887333634399826598e-01 7.123739148065880156e-02
1.093500980000000027e+02 -3.237932829419287728e-01 7.192039418340617773e-02
1.094252929999999964e+02 -9.529944705192300303e-02 8.189816748068134977e-02
1.095000000000000000e+02 1.561136752058716604e-01 7.405119946997788805e-02
1.095747070000000036e+02 3.171168845935876113e-01 6.252100353738113125e-02
1.096503909999999991e+02 2.594121822879361106e-01 6.802499667484955548e-02
1.097250980000000027e+02 1.682299951674098293e-01 6.787778499925373188e-02
1.097998050000000063e+02 4.670421253394130973e-02 5.794060833845598307e-02
1.098750000000000000e+02 -4.876852599360027157e-02 6.946425906385374216e-02
1.099497070000000036e+02 -1.924989690286648958e-01 6.538757865702515826e-02
1.100253909999999991e+02 -2.924728671710460914e-01 7.588851594230369701e-02
1.100996090000000009e+02 -3.463116631331196738e-01 6.620785438908595444e-02
1.101748050000000063e+02 -2.347517637957974579e-01 9.393673495833472498e-02
1.102500000000000000e+02 -8.138116479182631868e-02 8.205181207808309729e-02
