# chi(pi) gamma err
1.079936519999999973e+02 -1.889598615127387540e-02 1.317960233653550639e-01
1.080747070000000036e+02 2.007651847910519316e-01 1.303371833520346745e-01
1.081499019999999973e+02 2.403677968920722996e-01 1.215595306614080523e-01
1.082255860000000069e+02 3.227356971313772860e-01 1.153254696183233646e-01
1.082998050000000063e+02 1.272360794772946502e-01 1.719722307306353060e-01
1.083750000000000000e+02 -1.269079151070110212e-01 1.582580902009396995e-01
1.084501949999999937e+02 -3.290096475310743118e-01 1.386632560385540891e-01
1.085249019999999973e+02 -3.551190061699284195e-01 1.640496222356685463e-01
1.086000980000000027e+02 -2.826817013144401480e-01 1.349307634102944464e-01
1.086748050000000063e+02 -1.099520343853818694e-01 1.398657483865163864e-01
1.087500000000000000e+02 6.127657220788677167e-03 1.303588398443719931e-01
1.088251949999999937e+02 8.972141213966708384e-02 1.318510621390924231e-01
1.088999019999999973e+02 2.076314175135910156e-01 1.402032214654411746e-01
1.089746090000000009e+02 3.009520361473059791e-01 1.239555751817431467e-01
1.090502929999999964e+02 2.641416270266825350e-01 1.589538987391477531e-01
1.091254880000000043e+02 9.233080314998140525e-02 1.800332203308622203e-01
1.092001949999999937e+02 -4.071173515318133318e-01 1.536042786106469327e-01
1.092744139999999931e+02 -3.908154536282029690e-01 1.314243994125504078e-01
1.093500980000000027e+02 -2.517811076672649140e-01 1.450281995130732193e-01
1.094252929999999964e+02 -2.367305990824606632e-01 1.602335508504826311e-01
1.095000000000000000e+02 -1.775924619896362133e-01 1.382777267419770806e-01
1.095747070000000036e+02 1.128560103984131979e-01 1.200637112213696900e-01
1.096503909999999991e+02 1.053521879837255038e-01 1.434411821313428814e-01
1.097250980000000027e+02 1.909707758051072402e-01 1.420561002262197559e-01
1.097998050000000063e+02 2.957817464669816876e-01 1.227406629361389445e-01
1.098750000000000000e+02 7.706963703495306461e-02 1.412205593530468095e-01
1.099497070000000036e+02 -9.517148197395070008e-02 1.527637152893858430e-01
1.100253909999999991e+02 -3.482393018604368340e-01 1.303465789350069237e-01
1.100996090000000009e+02 -3.795709117434670210e-01 1.526769980598128018e-01
1.101748050000000063e+02 -2.755980244412963298e-01 1.241358355062136265e-01
1.102500000000000000e+02 -2.318389042114052390e-01 1.301212992777067423e-01
