# chi(pi) gamma err
1.079936519999999973e+02 4.597615324369226375e-01 7.508957780743781563e-02
1.080747070000000036e+02 4.906809674742207417e-01 7.665867251445489250e-02
1.081499019999999973e+02 1.655605939539476767e-01 7.102598413885811979e-02
1.082255860000000069e+02 -6.273276126540782149e-01 1.076468361341530178e-01
1.082998050000000063e+02 -5.978536316307263565e-01 1.014914013114544961e-01
1.083750000000000000e+02 -4.699411714130273809e-01 6.527916736587673074e-02
1.084501949999999937e+02 -2.878836201732098976e-01 7.181370085713000007e-02
1.085249019999999973e+02 -8.723134497605679327e-02 5.162614254569004857e-02
1.086000980000000027e+02 3.132695286946026586e-02 5.500982727859602545e-02
1.086748050000000063e+02 2.211089228975553767e-01 6.349641304161447730e-02
1.087500000000000000e+02 3.889301035601820944e-01 6.089960577546939952e-02
1.088251949999999937e+02 5.232510380779454850e-01 9.132099032445223363e-02
1.088999019999999973e+02 6.222733895076399957e-01 9.824201383912348207e-02
1.089746090000000009e+02 -3.516524451198826395e-01 9.811637482414885258e-02
1.090502929999999964e+02 -7.321495121177209464e-01 6.708040868296911985e-02
1.091254880000000043e+02 -5.022296405047910195e-01 7.389811593533697487e-02
1.092001949999999937e+02 -3.169438182645581970e-01 6.042001182939574916e-02
1.092744139999999931e+02 -2.200821118891728434e-01 5.688543904876888768e-02
1.093500980000000027e+02 -5.416001430077335005e-02 6.725071938786067460e-02
1.094252929999999964e+02 1.167960309645971612e-01 5.134313646961671113e-02
1.095000000000000000e+02 2.898767830881770480e-01 5.650500370197153455e-02
1.095747070000000036e+02 4.510620294599687607e-01 6.291274124675190482e-02
1.096503909999999991e+02 5.996076421273486279e-01 7.355185898601536432e-02
1.097250980000000027e+02 2.164895452009575061e-01 8.635884608581136102e-02
1.097998050000000063e+02 -5.992188885055595993e-01 1.052883103660620656e-01
1.098750000000000000e+02 -6.729189948659235476e-01 8.056708847281995878e-02
1.099497070000000036e+02 -4.477697306411104194e-01 7.003690173508768380e-02
1.100253909999999991e+02 -2.986168300463562519e-01 5.337449934433811244e-02
1.100996090000000009e+02 -1.251662506517040863e-01 6.339734539100858046e-02
1.101748050000000063e+02 3.393727811800761884e-02 5.359389056843341659e-02
1.102500000000000000e+02 1.758021196677942155e-01 5.217227395929065897e-02
