# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-1.999512 30.0 895 14428 210655 2174 3782304292 15323 0.000000 0.000000
-1.812744 30.0 616 16138 209523 1225 3782304328 16754 0.000000 0.000000
-1.604004 30.0 921 14861 210141 1985 3782304365 15782 0.000000 0.000000
-1.406250 30.0 1192 13831 210376 2606 3782304401 15023 0.000000 0.000000
-1.197510 30.0 1593 11587 212626 4166 3782304437 13180 0.000000 0.000000
-0.999756 30.0 2100 8914 212488 5823 3782304473 11014 0.000000 0.000000
-0.802002 30.0 2506 7232 211556 7071 3782304510 9738 0.000000 0.000000
-0.615234 30.0 2389 7816 212387 6552 3782304546 10205 0.000000 0.000000
-0.395508 30.0 2061 8999 211939 5747 3782304582 11060 0.000000 0.000000
-0.197754 30.0 1566 11455 209167 4111 3782304618 13021 0.000000 0.000000
0.000000 30.0 1085 14130 211503 2646 3782304654 15215 0.000000 0.000000
0.186768 30.0 678 15561 211867 1551 3782304690 16239 0.000000 0.000000
0.395508 30.0 571 16321 212058 1126 3782304726 16892 0.000000 0.000000
0.593262 30.0 896 15016 211180 1867 3782304763 15912 0.000000 0.000000
0.791016 30.0 1426 12453 211573 3459 3782304799 13879 0.000000 0.000000
1.010742 30.0 2006 9882 210995 5235 3782304835 11888 0.000000 0.000000
1.186523 30.0 2498 7520 210458 6759 3782304871 10018 0.000000 0.000000
1.395264 30.0 2546 6925 211641 7107 3782304907 9471 0.000000 0.000000
1.604004 30.0 2270 8424 210840 6191 3782304944 10694 0.000000 0.000000
1.801758 30.0 1895 10148 211220 5175 3782304980 12043 0.000000 0.000000
1.988525 30.0 1197 13238 210907 3009 3782305016 14435 0.000000 0.000000
