# Position(mm) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
0.0000000 60.0 1049 6185 711134 7920 3764422066 7234 0.0000000 0.0000000 108.2998050
5.0000000 60.0 1665 6446 712538 8137 3764422134 8111 0.0000000 0.0000000 108.2998050
10.0000000 60.0 1993 6683 705450 7999 3764422201 8676 0.0000000 0.0000000 108.2998050
15.0000000 60.0 2200 6350 672901 7826 3764422269 8550 0.0000000 0.0000000 108.2998050
20.0000000 60.0 1837 6575 639847 7926 3764422337 8412 0.0000000 0.0000000 108.2998050
25.0000000 60.0 1199 6561 664095 7846 3764422404 7760 0.0000000 0.0000000 108.2998050
30.0000000 60.0 545 6521 681004 7836 3764422472 7066 0.0000000 0.0000000 108.2998050
35.0000000 60.0 164 6667 622231 7946 3764422539 6831 0.0000000 0.0000000 108.2998050
40.0000000 60.0 184 6631 624288 7926 3764422607 6815 0.0000000 0.0000000 108.2998050
45.0000000 60.0 520 6504 625201 7917 3764422674 7024 0.0000000 0.0000000 108.2998050
50.0000000 60.0 1193 6507 641124 7925 3764422742 7700 0.0000000 0.0000000 108.2998050
55.0000000 60.0 1753 6543 702909 7964 3764422809 8296 0.0000000 0.0000000 108.2998050
60.0000000 60.0 2019 6419 644190 7827 3764422876 8438 0.0000000 0.0000000 108.2998050
65.0000000 60.0 2013 6902 626218 8003 3764422944 8915 0.0000000 0.0000000 108.2998050
70.0000000 60.0 1626 6746 646609 7994 3764423011 8372 0.0000000 0.0000000 108.2998050
75.0000000 60.0 874 6505 712334 8053 3764423079 7379 0.0000000 0.0000000 108.2998050
80.0000000 60.0 364 6611 712743 7885 3764423146 6975 0.0000000 0.0000000 108.2998050
85.0000000 60.0 125 6494 721480 7934 3764423214 6619 0.0000000 0.0000000 108.2998050
90.0000000 60.0 325 6551 718426 7844 3764423282 6876 0.0000000 0.0000000 108.2998050
95.0000000 60.0 881 6795 683197 8020 3764423349 7676 0.0000000 0.0000000 108.2998050
