# chi w_im1 w_im1_err w_im2 w_im2_err
-2.480314609926469682e+00 1.744537499518069579e+00 1.015766452439483131e-01 -1.406206296257661581e+00 8.282813279392632622e-02
-2.079400209455274595e+00 8.727457040897644847e-01 2.163640124350904234e-02 -7.184741825764020540e-01 1.854938647619855385e-02
-1.578257208866281402e+00 4.858885312952876401e-01 1.002760117703382046e-02 -4.398897902638218560e-01 9.336900732729091351e-03
-1.180380038701686285e+00 3.120860789490322307e-01 6.789655079827044623e-03 -2.714771713075664339e-01 6.397222291365782347e-03
-7.460561048578924215e-01 1.440532162287993800e-01 5.565146763450565769e-03 -1.783161259476125082e-01 5.450227318099275416e-03
-3.117321710140976698e-01 8.135879828829846450e-02 5.127315432635098230e-03 -9.039861931970406828e-02 4.998558392667532338e-03
8.918222945709697314e-02 -3.656907204158707514e-02 5.011761894344368522e-03 -2.202330743486487219e-02 4.884398767362493725e-03
4.900966299282920602e-01 -1.571223564859180466e-01 5.305919756084432129e-03 1.574062436668506038e-01 5.141258711857784637e-03
9.882024002106857274e-01 -2.813840016381139453e-01 6.333799946206861327e-03 2.174547908302711663e-01 5.932065680109521039e-03
1.422526334054480035e+00 -3.482577324880605230e-01 7.930604435569031316e-03 3.304851319982218261e-01 7.562230316305867429e-03
1.856850267898274565e+00 -6.652452777156819819e-01 1.438774955117882656e-02 5.865311725188927516e-01 1.305435952948043495e-02
2.291174201742069094e+00 -9.567455769502569707e-01 3.601909907426439905e-02 9.368979803084541702e-01 3.502269670342304797e-02
2.725498135585863402e+00 -2.101429348812838160e+00 2.270966713348970267e-01 1.897776450964342221e+00 2.055686072073840687e-01
3.193231602802257374e+00 -2.060083953937362988e+00 1.209020833404712114e+00 1.157417049186248104e+00 7.011977611934512300e-01
3.624518306339451712e+00 2.151180991472725346e+00 2.664245902176534120e-01 -2.190768614909478718e+00 2.707831622548584338e-01
4.025432706810646799e+00 1.058530618946391222e+00 3.578337818317088581e-02 -9.023836447243677172e-01 3.112339824198755503e-02
4.493166174027040327e+00 6.103258400848959875e-01 1.301534973665196930e-02 -6.459652492266056978e-01 1.298394457862096264e-02
4.927490107870835523e+00 4.663765288109785745e-01 8.346543331054539355e-03 -3.591208962163126017e-01 7.445030115654681195e-03
5.328404508342030610e+00 2.668374630843821094e-01 6.201570890307411994e-03 -2.416736823865778816e-01 5.905273685792702086e-03
5.759691211879224504e+00 8.040295918585912971e-02 5.206556838083644355e-03 -1.499981418145590328e-01 5.134585827847721468e-03
6.194015145723019700e+00 -5.293681221236873347e-02 5.025199116464039092e-03 2.940892690518842265e-02 4.891116314858875123e-03
6.661748612939412340e+00 -8.246388315979066852e-02 5.183983829516612164e-03 2.241494718950000006e-02 5.022398237658841358e-03
