# chi w_re1 w_re1_err w_re2 w_re2_err
-2.480314609926469682e+00 8.592358151153969281e-01 5.563076650376954507e-02 1.956002851412450561e-01 5.415449405493744095e-02
-2.079400209455274595e+00 6.039952275849355123e-01 1.740566287768573542e-02 2.602036363003077946e-01 1.463889544320543142e-02
-1.578257208866281402e+00 4.492572227336888990e-01 1.086976318366815811e-02 3.096271294220306891e-01 1.034497210933912718e-02
-1.180380038701686285e+00 5.249066976149514563e-01 1.266326444879729840e-02 3.862333001741122818e-01 1.138967010754237709e-02
-7.460561048578924215e-01 4.604535986197039743e-01 1.903029584194982846e-02 3.899541347645044675e-01 1.853902215709908596e-02
-3.117321710140976698e-01 5.704501495566086655e-01 6.419823414938412298e-02 4.459620423107865106e-01 5.809270453068115375e-02
8.918222945709697314e-02 -3.075275252509250823e-01 2.217391826533764987e-01 -1.706291860057845000e-01 1.283825493216441960e-01
4.900966299282920602e-01 5.388986668107353939e-01 6.767293421484237015e-02 4.614716013677514495e-01 6.880301789346406072e-02
9.882024002106857274e-01 5.723502341479127509e-01 2.130364885542139139e-02 4.169831872957683316e-01 1.842497641636168734e-02
1.422526334054480035e+00 5.500287549654212516e-01 1.347049538788752492e-02 4.905942556568888002e-01 1.373212407746860104e-02
1.856850267898274565e+00 6.975280277434294796e-01 1.674204741092396101e-02 3.887642846892858106e-01 1.382188712160021225e-02
2.291174201742069094e+00 7.461035829731765823e-01 3.251246089707284653e-02 3.649371226258626422e-01 2.979407153726674334e-02
2.725498135585863402e+00 1.027998247448433489e+00 1.084836412327395555e-01 5.335188346952557392e-02 1.598265800810934334e-01
3.193231602802257374e+00 -3.729490673292392700e+00 4.022755148732164443e+00 3.704461474908541607e+00 2.293838066394954023e+00
3.624518306339451712e+00 9.867695138478902450e-01 1.269982774970103423e-01 -5.059367078167892329e-01 8.366185610021986685e-02
4.025432706810646799e+00 -3.528760512402754124e+00 4.047050846160704651e-01 -3.138508943836062492e+00 3.273051571635999801e-01
4.493166174027040327e+00 -1.015074554137391782e+00 4.110017735701340658e-02 -9.880391365866081355e-01 3.446822578617891181e-02
4.927490107870835523e+00 -3.335146896758659496e-01 9.834455294380036600e-03 -4.055324016792207220e-01 9.077146641471309577e-03
5.328404508342030610e+00 -1.222898559213345532e-01 3.931128951698297305e-03 -1.815657741393235658e-01 3.677000363725996084e-03
5.759691211879224504e+00 -2.016578919962026123e-02 2.089426930749465477e-03 -8.961347890046600373e-02 2.057437667359650248e-03
6.194015145723019700e+00 -8.825769184523435396e-02 7.343523261925915223e-03 3.026205685569399034e-02 7.147704128310073887e-03
6.661748612939412340e+00 2.106807206663314364e-02 2.110392432791756423e-03 -3.138661155548452646e-03 2.047640546908529192e-03
