# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-1.4000000 120.0 925 21578 742630 20399 3771002413 22503 0.0000000 0.0000000 -0.0878910
-1.2000000 120.0 635 21620 742582 20465 3771002536 22255 0.0000000 0.0000000 -0.0878910
-1.0000000 120.0 417 21385 742280 20648 3771002659 21802 0.0000000 0.0000000 -0.0878910
-0.8000000 120.0 141 21703 743352 20501 3771002783 21844 0.0000000 0.0000000 -0.0878910
-0.6000000 120.0 64 21426 744915 20618 3771002906 21490 0.0000000 0.0000000 -0.0878910
-0.4000000 120.0 103 21441 744823 20599 3771003029 21544 0.0000000 0.0000000 -0.0878910
-0.2000000 120.0 253 21626 744572 20522 3771003152 21879 0.0000000 0.0000000 -0.0878910
0.0000000 120.0 607 21648 742974 20639 3771003276 22255 0.0000000 0.0000000 -0.0878910
0.2000000 120.0 857 21557 743289 20265 3771003399 22414 0.0000000 0.0000000 -0.0878910
0.4000000 120.0 1014 21520 742505 20338 3771003522 22534 0.0000000 0.0000000 -0.0878910
0.6000000 120.0 1029 21377 744301 20678 3771003645 22406 0.0000000 0.0000000 -0.0878910
0.8000000 120.0 932 21482 743949 20309 3771003769 22414 0.0000000 0.0000000 -0.0878910
1.0000000 120.0 716 21667 744377 20290 3771003892 22383 0.0000000 0.0000000 -0.0878910
1.2000000 120.0 430 21595 743384 20459 3771004015 22025 0.0000000 0.0000000 -0.0878910
1.4000000 120.0 184 21487 742690 20606 3771004138 21671 0.0000000 0.0000000 -0.0878910
