# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 76 7019 632322 8015 3764023483 7095 0.0000000 0.0000000 109.0502930 56.1187500
-1.5000000 60.0 235 7087 625561 7927 3764023548 7322 0.0000000 0.0000000 109.0502930 56.1187500
-1.2500000 60.0 498 7211 651962 7897 3764023612 7709 0.0000000 0.0000000 109.0502930 56.1187500
-1.0000000 60.0 879 7066 650639 7827 3764023676 7945 0.0000000 0.0000000 109.0502930 56.1187500
-0.7500000 60.0 1084 7054 652629 7878 3764023741 8138 0.0000000 0.0000000 109.0502930 56.1187500
-0.5000000 60.0 1032 7224 648982 8006 3764023805 8256 0.0000000 0.0000000 109.0502930 56.1187500
-0.2500000 60.0 774 6926 654547 7945 3764023869 7700 0.0000000 0.0000000 109.0502930 56.1187500
0.0000000 60.0 484 6921 654886 8005 3764023933 7405 0.0000000 0.0000000 109.0502930 56.1187500
0.2500000 60.0 179 7140 650228 7995 3764023998 7319 0.0000000 0.0000000 109.0502930 56.1187500
0.5000000 60.0 85 7118 654900 7809 3764024062 7203 0.0000000 0.0000000 109.0502930 56.1187500
0.7500000 60.0 227 7111 649399 7890 3764024126 7338 0.0000000 0.0000000 109.0502930 56.1187500
1.0000000 60.0 515 7231 646961 7932 3764024190 7746 0.0000000 0.0000000 109.0502930 56.1187500
1.2500000 60.0 883 7128 648730 7966 3764024255 8011 0.0000000 0.0000000 109.0502930 56.1187500
1.5000000 60.0 962 7181 649222 7862 3764024319 8143 0.0000000 0.0000000 109.0502930 56.1187500
1.7500000 60.0 999 7067 650905 7858 3764024383 8066 0.0000000 0.0000000 109.0502930 56.1187500
