I_Scan_mA,Detector_cnts
0.0,7340.0
200000.0,5903.0
400000.0,4543.0
600000.0,3623.0
800000.0,3487.0
1000000.0,3837.0
1200000.0,4842.0
1400000.0,6268.0
1600000.0,7871.0
1800000.0,9392.0
2000000.0,10362.0
2200000.0,10712.0
2400000.0,10220.0
2600000.0,9516.0
2800000.0,8221.0
3000000.0,6655.0
3200000.0,5090.0
