I_Scan_mA,Detector_cnts
0.0,7131.0
200000.0,7558.0
400000.0,7317.0
600000.0,7175.0
800000.0,7227.0
1000000.0,7208.0
1200000.0,7340.0
1400000.0,7010.0
1600000.0,6951.0
1800000.0,6709.0
2000000.0,6824.0
2200000.0,7039.0
2400000.0,7067.0
2600000.0,7029.0
2800000.0,7219.0
3000000.0,7114.0
3200000.0,7447.0
