I_Scan_mA,Detector_cnts
0.0,3624.0
200000.0,3717.0
400000.0,4686.0
600000.0,6112.0
800000.0,7460.0
1000000.0,9043.0
1200000.0,10151.0
1400000.0,10669.0
1600000.0,10537.0
1800000.0,9998.0
2000000.0,9122.0
2200000.0,7273.0
2400000.0,5543.0
2600000.0,4426.0
2800000.0,3699.0
3000000.0,3481.0
3200000.0,3980.0
