# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-1.999512 30.0 946 15774 210407 2366 3782451244 16720 0.000000 0.000000
-1.812744 30.0 701 16912 210736 1449 3782451281 17613 0.000000 0.000000
-1.604004 30.0 701 17420 211560 1339 3782451317 18121 0.000000 0.000000
-1.395264 30.0 1116 15322 210300 2493 3782451353 16438 0.000000 0.000000
-1.186523 30.0 1841 12267 210624 4409 3782451389 14108 0.000000 0.000000
-0.999756 30.0 2215 9850 210968 5947 3782451426 12065 0.000000 0.000000
-0.791016 30.0 2628 8158 210721 7203 3782451462 10786 0.000000 0.000000
-0.604248 30.0 2672 7619 210429 7528 3782451498 10291 0.000000 0.000000
-0.384522 30.0 2334 9236 210909 6736 3782451535 11570 0.000000 0.000000
-0.197754 30.0 1758 11939 210390 4941 3782451571 13697 0.000000 0.000000
0.010986 30.0 1087 14889 210887 2875 3782451607 15976 0.000000 0.000000
0.197754 30.0 709 17012 210006 1443 3782451644 17721 0.000000 0.000000
0.395508 30.0 619 17646 210278 1086 3782451680 18265 0.000000 0.000000
0.604248 30.0 948 15821 211472 2173 3782451716 16769 0.000000 0.000000
0.802002 30.0 1620 13619 211178 3777 3782451753 15239 0.000000 0.000000
0.988769 30.0 2110 10804 211819 5639 3782451789 12914 0.000000 0.000000
1.197510 30.0 2600 8390 211141 7119 3782451825 10990 0.000000 0.000000
1.395264 30.0 2756 7808 210640 7551 3782451861 10564 0.000000 0.000000
1.593018 30.0 2439 8742 209671 6872 3782451897 11181 0.000000 0.000000
1.801758 30.0 1942 11201 210316 5392 3782451934 13143 0.000000 0.000000
1.988525 30.0 1365 14074 211049 3411 3782451970 15439 0.000000 0.000000
