# chi w+ err
0.7017355 2.8859902 1.4543651
1.3493958 15.0116559 2.1125267
1.9502324 24.1015367 2.0754872
2.5549763 26.9507072 3.0548769
3.1480144 2.2267736 3.0190972
3.7488510 -23.0220559 4.3939081
4.3496876 -24.1800870 3.0413533
4.9466250 -13.5632745 2.6448460
5.5474696 -9.7635210 1.4431094
6.1444069 -3.3974580 0.6305792
6.7452436 5.9554860 1.8653373
7.3460802 12.6394992 1.1916406
7.9430175 24.6579495 1.9944362
8.5399549 37.4701738 2.6629056
9.1446988 21.8814182 4.2471832
9.7455354 -19.2989755 3.0913062
10.3424728 -28.7945470 2.4076685
10.9355108 -25.0300775 2.1508432
11.5402547 -14.9376811 2.4768196
12.1410914 -5.6972353 1.8563581
12.7380287 -0.0106830 1.5821051
13.3349660 9.1124072 1.1072418
13.9397100 14.4673915 2.2108474
14.5366473 24.3453275 2.8020172
15.1335846 30.3874165 2.3911001
15.7344213 4.7787777 3.8298497
16.3313586 -24.3378378 3.1415767
16.9361025 -35.9332391 2.8939468
17.5291326 -18.1482034 1.7788169
18.1299772 -10.2667072 1.3047039
