# chi w+ err
0.6270931 15.6467248 2.6615308
1.2750481 12.8241718 2.2909490
1.8761582 2.2433344 4.3473331
2.4811773 -12.6860530 5.0639490
3.0744852 -27.9737548 5.1691277
3.6755953 -23.2913960 6.9947286
4.2767054 -0.0903865 4.3001290
4.8739143 3.2760376 3.0357054
5.4750324 0.6982643 2.5011844
6.0722414 5.7816414 2.4978647
6.6733514 9.1563173 2.9665879
7.2744615 14.2115983 3.1104563
7.8716705 0.2526281 3.4287099
8.4688795 -11.5738425 5.4492034
9.0738986 -50.5860388 11.4389991
9.6750087 -22.6592936 9.0721777
10.2722176 -12.0705342 5.0913411
10.8655255 2.2625381 4.6714400
11.4705447 5.0108465 2.9278251
12.0716547 9.9180510 2.8383304
12.6688637 17.1292875 2.7878681
13.2660727 13.2644756 2.4716034
13.8710918 3.6427648 3.4672665
14.4683008 0.2115909 3.5989354
15.0655098 -11.8130864 5.2560406
15.6666199 -42.3728873 4.4085970
16.2638288 -18.0425501 5.4296581
16.8688480 -4.9814945 4.1631197
17.4621479 -0.9493464 3.7365194
18.0632659 7.6810712 1.8651977
