# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-0.1000000 60.0 267 9765 377963 10137 3771115070 10032 0.0000000 0.0000000 0.4174800
-0.0858680 60.0 94 9563 378735 10131 3771115197 9657 0.0000000 0.0000000 0.4174800
-0.0717360 60.0 54 9850 377118 10468 3771115324 9904 0.0000000 0.0000000 0.4174800
-0.0646700 60.0 77 9797 375949 10061 3771115452 9874 0.0000000 0.0000000 0.4174800
-0.0505380 60.0 235 10058 374895 10135 3771115579 10293 0.0000000 0.0000000 0.4174800
-0.0364060 60.0 457 9773 372900 10222 3771115706 10230 0.0000000 0.0000000 0.4174800
-0.0222740 60.0 637 9697 372211 10100 3771115833 10334 0.0000000 0.0000000 0.4174800
-0.0081420 60.0 685 9716 373918 10066 3771115960 10401 0.0000000 0.0000000 0.4174800
0.0059900 60.0 589 9682 373416 10124 3771116087 10271 0.0000000 0.0000000 0.4174800
0.0201220 60.0 437 9843 377441 10127 3771116215 10280 0.0000000 0.0000000 0.4174800
0.0342540 60.0 201 9851 379195 10082 3771116342 10052 0.0000000 0.0000000 0.4174800
0.0483860 60.0 56 9715 378797 10141 3771116469 9771 0.0000000 0.0000000 0.4174800
0.0625180 60.0 59 9779 371878 10220 3771116596 9838 0.0000000 0.0000000 0.4174800
0.0766500 60.0 219 9683 371478 10388 3771116723 9902 0.0000000 0.0000000 0.4174800
0.0907820 60.0 416 9649 375284 10196 3771116851 10065 0.0000000 0.0000000 0.4174800
0.1049140 60.0 630 9823 375789 10288 3771116978 10453 0.0000000 0.0000000 0.4174800
