# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-0.1000000 60.0 421 8929 369436 10118 3770543128 9350 0.0000000 0.0000000 0.5273440
-0.0929340 60.0 365 9094 371379 10289 3770543256 9459 0.0000000 0.0000000 0.5273440
-0.0858680 60.0 261 8977 371131 10261 3770543383 9238 0.0000000 0.0000000 0.5273440
-0.0788020 60.0 228 8964 371049 10209 3770543510 9192 0.0000000 0.0000000 0.5273440
-0.0717360 60.0 171 8968 369560 10182 3770543637 9139 0.0000000 0.0000000 0.5273440
-0.0646700 60.0 164 8964 370531 10329 3770543765 9128 0.0000000 0.0000000 0.5273440
-0.0576040 60.0 162 9092 370245 10354 3770543892 9254 0.0000000 0.0000000 0.5273440
-0.0505380 60.0 213 9001 370220 10155 3770544019 9214 0.0000000 0.0000000 0.5273440
-0.0434720 60.0 289 8915 370051 10092 3770544147 9204 0.0000000 0.0000000 0.5273440
-0.0364060 60.0 353 9066 370398 10149 3770544274 9419 0.0000000 0.0000000 0.5273440
-0.0293400 60.0 455 9184 370895 10199 3770544401 9639 0.0000000 0.0000000 0.5273440
-0.0222740 60.0 490 9016 370187 10187 3770544529 9506 0.0000000 0.0000000 0.5273440
-0.0152080 60.0 628 9037 376780 10171 3770544656 9665 0.0000000 0.0000000 0.5273440
-0.0081420 60.0 658 9134 376150 10210 3770544783 9792 0.0000000 0.0000000 0.5273440
-0.0010760 60.0 640 9024 377585 10136 3770544910 9664 0.0000000 0.0000000 0.5273440
0.0059900 60.0 716 8981 375960 10268 3770545038 9697 0.0000000 0.0000000 0.5273440
0.0130560 60.0 603 8780 375256 10270 3770545165 9383 0.0000000 0.0000000 0.5273440
0.0201220 60.0 528 8937 375489 10017 3770545292 9465 0.0000000 0.0000000 0.5273440
0.0271880 60.0 444 9019 375817 10158 3770545420 9463 0.0000000 0.0000000 0.5273440
0.0342540 60.0 364 9133 375696 10122 3770545547 9497 0.0000000 0.0000000 0.5273440
0.0413200 60.0 273 8904 375408 10282 3770545674 9177 0.0000000 0.0000000 0.5273440
0.0483860 60.0 189 9147 376096 10184 3770545801 9336 0.0000000 0.0000000 0.5273440
0.0554520 60.0 154 9123 375779 10198 3770545929 9277 0.0000000 0.0000000 0.5273440
0.0625180 60.0 129 9106 375173 10096 3770546056 9235 0.0000000 0.0000000 0.5273440
0.0695840 60.0 149 8967 375810 10300 3770546183 9116 0.0000000 0.0000000 0.5273440
0.0766500 60.0 159 9059 375189 10035 3770546311 9218 0.0000000 0.0000000 0.5273440
0.0837160 60.0 267 9179 375874 9947 3770546438 9446 0.0000000 0.0000000 0.5273440
0.0907820 60.0 323 9063 375527 10029 3770546565 9386 0.0000000 0.0000000 0.5273440
0.0978480 60.0 403 9106 376339 9977 3770546693 9509 0.0000000 0.0000000 0.5273440
0.1049140 60.0 530 9169 375916 10342 3770546820 9699 0.0000000 0.0000000 0.5273440
0.1119800 60.0 631 9179 375741 10191 3770546947 9810 0.0000000 0.0000000 0.5273440
