# chi dpdx dpdx_err
-6.529293193480381063e+00 3.940722849172629272e-01 7.750498786619162798e-03
-6.324400895553074164e+00 3.370399176877226233e-01 6.628802818826410800e-03
-6.134320149953709667e+00 1.620848042072839390e-01 3.187836664539123697e-03
-5.944239404354346057e+00 6.897176168304582078e-02 1.356516496326725697e-03
-5.754158658755017974e+00 2.761555405800648066e-01 5.431346644013103353e-03
-5.566546336688491969e+00 3.871299542739440325e-01 7.613959051939143095e-03
-5.375231252931371273e+00 3.657323872990028701e-01 7.193117944296409903e-03
-5.186384845489799389e+00 2.187110624692794603e-01 4.301545399581286830e-03
-4.996304099890435779e+00 4.594918972584122532e-03 9.037152645511137663e-05
-4.807457692448863895e+00 2.250498569545141270e-01 4.426214961097784187e-03
-4.617376694066752663e+00 3.691442850715893620e-01 7.260222154763918898e-03
-4.427295948467424580e+00 3.854687316417716447e-01 7.581286609629074233e-03
-4.237215202868060970e+00 2.683731712627311916e-01 5.278285273651366939e-03
-4.049603133584280812e+00 6.142106654882519001e-02 1.208011626241291834e-03
-3.859522387984953173e+00 1.690379328231916278e-01 3.324588770595285781e-03
-3.669441389602806414e+00 3.409889941030239124e-01 6.706472102195285001e-03
-3.480594982161270501e+00 3.950117385721289565e-01 7.768975687154436663e-03
-3.290514236561906447e+00 3.130928405602227960e-01 6.157818688951022766e-03
-3.100433490962542393e+00 1.228049737207157349e-01 2.415292412692863697e-03
-2.912821168896016388e+00 1.070373513437882368e-01 2.105179413688369576e-03
-2.721506085138859721e+00 3.037312531155927364e-01 5.973697716968259970e-03
-2.532659677697324252e+00 3.936656191954466255e-01 7.742500603787912279e-03
-2.341344593940167584e+00 3.475979008745412879e-01 6.836454153392513590e-03
-2.152498186498595700e+00 1.824271774132373292e-01 3.587924528832341347e-03
-1.963651779057060232e+00 4.509270599021797388e-02 8.868701921931305488e-04
-1.774805118832705642e+00 2.572012411267743937e-01 5.058559009519124003e-03
-1.583490035075585167e+00 3.822116780075680564e-01 7.517227828522079526e-03
-1.394643627634013505e+00 3.742665925097261592e-01 7.360966203770828373e-03
-1.204562882034649229e+00 2.371796219838998576e-01 4.664779642605310084e-03
-1.016950559968123224e+00 2.106425787535756364e-02 4.142856814664566375e-04
-8.256354762110029721e-01 2.061031268271951988e-01 4.053576197899765726e-03
-6.355547306116748896e-01 3.604006564711377258e-01 7.088255017129063695e-03
-4.467083231700669232e-01 3.902135056775921651e-01 7.674605441769553373e-03
-2.566275775707388962e-01 2.856007312565702616e-01 5.617111899981337003e-03
-6.778117012916705375e-02 8.363525479678678154e-02 1.644913802951597807e-03
1.222998282529435959e-01 1.483388524428726485e-01 2.917485293613956542e-03
3.123805738522716369e-01 3.289690048879211348e-01 6.470066459391988004e-03
5.012269812938434654e-01 3.957439567497828548e-01 7.783376740754637153e-03
6.900733887354152385e-01 3.272632761701194104e-01 6.436518684367923022e-03
8.801541343347433211e-01 1.455059578925909369e-01 2.861768749682966091e-03
1.070235132716890192e+00 8.661478166169278570e-02 1.703514268488019734e-03
1.260315878316218052e+00 2.887557680437924379e-01 5.679164243490442653e-03
1.449162285757789936e+00 3.907103144087495927e-01 7.684376531022444473e-03
1.639243031357154212e+00 3.584821949562106425e-01 7.050523275484913907e-03
1.828089438798689903e+00 2.034924866247517505e-01 4.002230887671757130e-03
2.016936099023044271e+00 2.104630440012844259e-02 4.139325777509591554e-04
2.207016844622372354e+00 2.396148620782182492e-01 4.712675234654122892e-03
2.398331928379529021e+00 3.757316381018731555e-01 7.389780293263727845e-03
2.585943997663308291e+00 3.814092326119338794e-01 7.501445566477193960e-03
2.776024743262636374e+00 2.560469333227431976e-01 5.035856420230443338e-03
2.964871403486990964e+00 4.358592491610484981e-02 8.572352614111640109e-04
3.157420572619157095e+00 1.878360305362506699e-01 3.694304274811477645e-03
3.345032894685683100e+00 3.497666407852084713e-01 6.879108297541848896e-03
3.533879302127254984e+00 3.935074221956893492e-01 7.739389231327596132e-03
3.723960047726583067e+00 3.017663957445267942e-01 5.935053475154797482e-03
3.914041046108693411e+00 1.055764527759228966e-01 2.076446886659753018e-03
4.104121791708021938e+00 1.271558385882730069e-01 2.500863954177509011e-03
4.291733860991837624e+00 3.140179721083076747e-01 6.176013906466511390e-03
4.483048944748993847e+00 3.951858771564626394e-01 7.772400594051568842e-03
4.671895352190529316e+00 3.394304265185431047e-01 6.675818649428570846e-03
4.861976350572639660e+00 1.662743055143326987e-01 3.270234554569980117e-03
5.052057096171967743e+00 6.443319356211513194e-02 1.267253261989788890e-03
5.240903503613539627e+00 2.717251538426977975e-01 5.344211089581950985e-03
5.430984249212904125e+00 3.864811237188550685e-01 7.601198041783369282e-03
5.619830656654439593e+00 3.680336120873085592e-01 7.238377762385992710e-03
5.808677316878794628e+00 2.238009287825349636e-01 4.401651406003999865e-03
5.999992400635914436e+00 9.448103515409194368e-06 1.858225448343966410e-07
