# chi DB DB_err
-6.529293193480381063e+00 9.919880155464017024e-01 -2.065286034287276955e-03
-6.324400895553074164e+00 8.544891225387243328e-01 -9.836428306144713238e-03
-6.134320149953709667e+00 7.022931803020564523e-01 -1.597368671014671657e-02
-5.944239404354346057e+00 7.308346498553052184e-01 -1.407519744962687155e-02
-5.754158658755017974e+00 8.998704227170766234e-01 -6.995920007690953867e-03
-5.566546336688491969e+00 9.989692334112635352e-01 -6.319365426335974952e-04
-5.375231252931371273e+00 9.356088998271437918e-01 5.352939147994281027e-03
-5.186384845489799389e+00 7.634154313280392401e-01 1.264809324694889624e-02
-4.996304099890435779e+00 6.951324776529820282e-01 1.615540031931314569e-02
-4.807457692448863895e+00 8.343918493988272678e-01 1.035327701403945463e-02
-4.617376694066752663e+00 9.777094237859674797e-01 3.352518083639072742e-03
-4.427295948467424580e+00 9.793363444728747647e-01 -3.193701482836933808e-03
-4.237215202868060970e+00 8.298771936094689883e-01 -1.045403078268624525e-02
-4.049603133584280812e+00 6.811964387239125562e-01 -1.668539168957534555e-02
-3.859522387984953173e+00 7.758881207161125726e-01 -1.200117532898224704e-02
-3.669441389602806414e+00 9.436995024013088429e-01 -4.956592046293414530e-03
-3.480594982161270501e+00 9.958146935452097948e-01 1.272761870991370899e-03
-3.290514236561906447e+00 8.763424276803478685e-01 8.062644065240024208e-03
-3.100433490962542393e+00 7.008277882192636143e-01 1.579602166424671009e-02
-2.912821168896016388e+00 6.914385593466921831e-01 1.664140708749281897e-02
-2.721506085138859721e+00 8.759127953436319780e-01 8.708408785737998051e-03
-2.532659677697324252e+00 9.962100918076540745e-01 1.351857288705302215e-03
-2.341344593940167584e+00 9.267600369268824689e-01 -6.325810891641080701e-03
-2.152498186498595700e+00 7.189854019396865192e-01 -1.509874515334134158e-02
-1.963651779057060232e+00 6.273862224300540413e-01 -1.934830705360494202e-02
-1.774805118832705642e+00 8.053984120204891184e-01 -1.103292498587828477e-02
-1.583490035075585167e+00 9.800971145497919812e-01 -2.924547294782373855e-03
-1.394643627634013505e+00 9.651915066091786288e-01 3.897366281646406916e-03
-1.204562882034649229e+00 7.690683211890827486e-01 1.247419966996743922e-02
-1.016950559968123224e+00 6.117776085307087275e-01 2.038883183794678450e-02
-8.256354762110029721e-01 7.429927702185734617e-01 1.445988550381543773e-02
-6.355547306116748896e-01 9.476597469711598443e-01 5.376473246324539428e-03
-4.467083231700669232e-01 9.902871304771815320e-01 -2.215062920402173594e-03
-2.566275775707388962e-01 8.323747690429224022e-01 -1.055577502354325924e-02
-6.778117012916705375e-02 6.162661661726134277e-01 -2.032622621106730185e-02
1.222998282529435959e-01 6.537772122609435410e-01 -1.815719163962770111e-02
3.123805738522716369e-01 8.879083925797286447e-01 -7.731331698466838327e-03
5.012269812938434654e-01 9.999845026375863144e-01 -7.967379814294100158e-05
6.900733887354152385e-01 8.988708584383273692e-01 7.068968581051602793e-03
8.801541343347433211e-01 6.721513434891955852e-01 1.672385938578922759e-02
1.070235132716890192e+00 6.303875719089611085e-01 1.931306945627732363e-02
1.260315878316218052e+00 8.360772525016244572e-01 1.027519039294381466e-02
1.449162285757789936e+00 9.893617133267046393e-01 2.277210774298003750e-03
1.639243031357154212e+00 9.485974087993870318e-01 -5.139070942809742526e-03
1.828089438798689903e+00 7.434634613203139342e-01 -1.409265543562733362e-02
2.016936099023044271e+00 6.233193119150979289e-01 -1.972586259544757692e-02
2.207016844622372354e+00 7.819629645543855201e-01 -1.223723251386684037e-02
2.398331928379529021e+00 9.682318241219207700e-01 -3.772822601261425525e-03
2.585943997663308291e+00 9.742706446928766084e-01 3.315926812783332248e-03
2.776024743262636374e+00 7.956597737852600938e-01 1.135411763846784668e-02
2.964871403486990964e+00 6.299545839003495296e-01 1.904382153607531505e-02
3.157420572619157095e+00 7.448854308113641576e-01 1.426412100006554419e-02
3.345032894685683100e+00 9.324587283578728014e-01 6.192949986670976369e-03
3.533879302127254984e+00 9.960934635286567973e-01 -1.418395353875173768e-03
3.723960047726583067e+00 8.588087500146788233e-01 -9.523018504317548941e-03
3.914041046108693411e+00 6.702893871301611739e-01 -1.738952076050384252e-02
4.104121791708021938e+00 6.701102841115423869e-01 -1.729321166802255672e-02
4.291733860991837624e+00 8.685640456061763937e-01 -8.606633714028050913e-03
4.483048944748993847e+00 9.976411130381420689e-01 -1.003684571126671910e-03
4.671895352190529316e+00 9.246038263158781190e-01 5.996308321506682928e-03
4.861976350572639660e+00 7.111230606685113864e-01 1.506402220103783378e-02
5.052057096171967743e+00 6.543964045352821390e-01 1.842286140392598512e-02
5.240903503613539627e+00 8.200421406002412761e-01 9.787557562341377138e-03
5.430984249212904125e+00 9.825564421449496377e-01 3.226405589007491116e-03
5.619830656654439593e+00 9.640834680477139429e-01 -5.305098736069063618e-03
5.808677316878794628e+00 7.669417082385330264e-01 -1.700298145508234368e-02
5.999992400635914436e+00 6.106028475874111239e-01 -2.583030427204911425e-02
