# chi(pi) scaled_values error
1.065937500000000000e+02 6.627001375898228241e-01 1.272370913328161289e-02
1.066748046999999957e+02 8.120573767275817145e-01 1.437893086563680686e-02
1.067500000000000000e+02 8.508558101336655133e-01 1.488059258194804509e-02
1.068251953000000043e+02 7.928642858455344777e-01 1.420945479233760855e-02
1.069003905999999944e+02 6.526900126558298210e-01 1.261481886820171698e-02
1.069746094000000056e+02 4.632583414729301574e-01 1.005492883443230047e-02
1.070502929999999964e+02 2.981418927325132362e-01 7.419263521237201564e-03
1.071250000000000000e+02 1.839119705430734553e-01 5.186043383030783729e-03
1.072001953000000043e+02 1.768385625115479753e-01 5.021987416253398395e-03
1.072749022999999937e+02 2.743558241460888336e-01 7.014402042930819800e-03
1.073500977000000063e+02 4.326842032494662704e-01 9.607860745779666506e-03
1.074252929999999964e+02 6.126310136148134244e-01 1.209139067013674518e-02
1.075004883000000007e+02 7.671000050407847937e-01 1.402073384535621262e-02
1.075747070000000036e+02 8.411492052170784772e-01 1.479245457016054206e-02
1.076499022999999937e+02 7.730412627768583622e-01 1.401610137794692852e-02
1.077250977000000063e+02 6.299504840097305269e-01 1.230453850464954119e-02
1.077998046999999957e+02 4.327155691328824494e-01 9.642546118780430039e-03
1.078750000000000000e+02 2.603619286399035948e-01 6.722622367611548987e-03
1.079501953000000043e+02 1.628802654444438947e-01 4.713381474062078649e-03
1.080244141000000013e+02 1.585615963268896533e-01 4.626313430195874536e-03
1.081000977000000063e+02 2.712290516541849827e-01 6.966706434804253827e-03
1.081748046999999957e+02 4.535541590630879916e-01 9.966554148677378433e-03
1.082504883000000007e+02 6.864679727777447393e-01 1.303727200805696387e-02
1.083251953000000043e+02 8.438330162547728053e-01 1.478608775577981010e-02
1.083999022999999937e+02 8.855387450221843260e-01 1.524070456617881292e-02
1.084746094000000056e+02 7.919629445194030781e-01 1.419220847536292913e-02
1.085502929999999964e+02 5.959036224551697014e-01 1.184910317766179645e-02
1.086250000000000000e+02 3.670642386219890585e-01 8.577953785762704175e-03
1.087001953000000043e+02 1.776321464949729423e-01 5.033172227692945915e-03
1.087744141000000013e+02 1.041561015810469476e-01 3.274288989820230318e-03
1.088500977000000063e+02 1.685423957120986693e-01 4.829368502049560460e-03
1.089252929999999964e+02 3.442018489246109203e-01 8.250653004601714996e-03
1.090000000000000000e+02 5.730902540021969305e-01 1.154469770009114611e-02
1.090751953000000043e+02 7.802645878179315098e-01 1.414034996556975607e-02
1.091499022999999937e+02 9.007295276989588650e-01 1.542490530532253032e-02
1.092250977000000063e+02 8.897931148300388671e-01 1.530828859001561425e-02
1.093002929999999964e+02 7.400316743346735393e-01 1.365946489666845787e-02
1.093750000000000000e+02 5.070927411062200463e-01 1.075283771428300200e-02
1.094497070000000036e+02 2.843045879445289525e-01 7.168828474318408688e-03
1.095249022999999937e+02 1.276128762193751154e-01 3.881304837254384663e-03
1.096000977000000063e+02 1.098715930377877348e-01 3.429791091321990944e-03
1.096752929999999964e+02 2.220092484848982528e-01 6.008660109660684916e-03
1.097500000000000000e+02 4.174604661628084079e-01 9.443410100598684936e-03
1.098251953000000043e+02 6.488365108817759630e-01 1.260386408060018212e-02
1.098999022999999937e+02 8.293558519403392282e-01 1.467748952443835575e-02
1.099746094000000056e+02 8.867805467733591573e-01 1.530377683091372829e-02
1.100498046999999957e+02 8.083640631732241788e-01 1.446058040574439707e-02
1.101254883000000007e+02 6.257910651388478573e-01 1.227466118035894227e-02
1.101997070000000036e+02 3.801772751147809437e-01 8.854569110925789022e-03
1.102749022999999937e+02 1.960103842040598343e-01 5.478128323901694172e-03
1.103496094000000056e+02 1.167074137195103362e-01 3.610094072536911697e-03
1.104257812000000030e+02 1.811368033528260868e-01 5.154088222875781444e-03
1.105000000000000000e+02 3.238691129749116104e-01 7.921282330025656085e-03
1.105747070000000036e+02 5.462633952462585540e-01 1.127206963229851651e-02
1.106499022999999937e+02 7.562638160780065233e-01 1.387137848027525898e-02
1.107250977000000063e+02 8.606955440217927134e-01 1.501936579739791659e-02
1.108002929999999964e+02 8.674989587113861589e-01 1.506803337041344101e-02
1.108745116999999993e+02 7.547277716709415163e-01 1.388322310484699056e-02
1.109501953000000043e+02 5.475806629570653117e-01 1.135472902109820742e-02
1.110249022999999937e+02 3.225461381443442965e-01 7.902131981234785871e-03
1.111000977000000063e+02 1.560542332381739394e-01 4.595881293972295736e-03
1.111752929999999964e+02 1.343146808300039741e-01 4.086090593917763615e-03
1.112500000000000000e+02 2.154138135070350346e-01 5.898397453421498800e-03
1.113251953000000043e+02 3.991702626526190123e-01 9.156644431206612325e-03
1.113999022999999937e+02 6.201110745123759038e-01 1.222239252843714853e-02
1.114746094000000056e+02 8.153293483911813189e-01 1.452695697595691310e-02
1.115502929999999964e+02 8.961900720380793217e-01 1.541120979261169539e-02
