# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-0.1000000 120.0 702 17810 753487 20520 3771258340 18512 0.0000000 0.0000000 -0.5493160
-0.0858680 120.0 203 17980 754871 20782 3771258587 18183 0.0000000 0.0000000 -0.5493160
-0.0717360 120.0 106 17861 754754 20171 3771258834 17967 0.0000000 0.0000000 -0.5493160
-0.0646700 120.0 219 17748 754697 20432 3771259081 17967 0.0000000 0.0000000 -0.5493160
-0.0505380 120.0 629 18051 754734 20491 3771259328 18680 0.0000000 0.0000000 -0.5493160
-0.0364060 120.0 1238 17935 754608 20617 3771259576 19173 0.0000000 0.0000000 -0.5493160
-0.0222740 120.0 1673 18104 754384 20026 3771259823 19777 0.0000000 0.0000000 -0.5493160
-0.0081420 120.0 1829 17815 755434 20659 3771260070 19644 0.0000000 0.0000000 -0.5493160
0.0059900 120.0 1558 17851 753973 20403 3771260317 19409 0.0000000 0.0000000 -0.5493160
0.0201220 120.0 952 17864 755357 20503 3771260564 18816 0.0000000 0.0000000 -0.5493160
0.0342540 120.0 418 17868 754772 20648 3771260811 18286 0.0000000 0.0000000 -0.5493160
0.0483860 120.0 112 17804 754234 20432 3771261058 17916 0.0000000 0.0000000 -0.5493160
0.0625180 120.0 182 18137 752862 20514 3771261305 18319 0.0000000 0.0000000 -0.5493160
0.0766500 120.0 590 18110 754843 20707 3771261552 18700 0.0000000 0.0000000 -0.5493160
0.0907820 120.0 1243 18043 754045 20470 3771261799 19286 0.0000000 0.0000000 -0.5493160
0.1049140 120.0 1623 17949 754735 20604 3771262046 19572 0.0000000 0.0000000 -0.5493160
