# chi cos2 cos2err
-1.504999999999999893e+00 1.332506923038139803e+03 1.069310492220356457e+00
-1.372999999999999998e+00 3.034790678537568510e+03 1.052853370108608688e+00
-1.207999999999999963e+00 4.181571809014617429e+03 1.453682311704973529e+00
-1.076999999999999957e+00 5.201187149238111488e+03 1.516272753567792009e+00
-9.340000000000000524e-01 3.454675617296478777e+03 1.839047855439355006e+00
-7.910000000000000364e-01 2.364665066609056339e+03 1.670869396662146400e+00
-6.590000000000000302e-01 1.156966556384258411e+03 1.807810337638579234e+00
-5.270000000000000240e-01 -4.426620049901953280e+03 1.895623126525258995e+00
-3.629999999999999893e-01 -5.531974585923745508e+03 1.902521142079844685e+00
-2.200000000000000011e-01 -4.100748571191292285e+03 1.451648852700327730e+00
-7.699999999999999900e-02 -3.533350479627816640e+03 1.392092057323407683e+00
6.600000000000000311e-02 -1.557182516938146364e+03 9.543639484571573295e-01
2.089999999999999913e-01 -7.308189920376831878e+02 9.293859490020187630e-01
3.629999999999999893e-01 -1.100440244418993387e+02 7.975602989504219087e-01
5.050000000000000044e-01 6.348976838693654372e+02 7.389764857287297595e-01
6.370000000000000107e-01 1.974157158532575068e+03 1.088258771044630535e+00
7.910000000000000364e-01 3.652481751040534618e+03 1.372728635067212988e+00
9.340000000000000524e-01 5.970876085800403416e+03 1.570186094335365823e+00
1.066000000000000059e+00 5.468256048841302800e+03 1.936899212650093460e+00
1.207999999999999963e+00 2.195263028312972438e+03 2.016120822851119598e+00
1.350999999999999979e+00 1.486359545969247392e+03 2.142783974499775201e+00
1.504999999999999893e+00 -2.376177835035626686e+03 1.884692173554403993e+00
