# chi w_im1 w_im1_err w_im2 w_im2_err
-2.480314609914092028e+00 1.701460338095359237e+00 1.597610836256874167e-01 -1.449052020114251160e+00 1.534063297128245573e-01
-2.079400209438310387e+00 8.764292451832604858e-01 5.569634885661157303e-02 -7.290902453650486281e-01 5.393319581523817879e-02
-1.578257208843583559e+00 4.938157862694635969e-01 4.363148120272096475e-02 -4.402175976239215971e-01 4.272951197527177086e-02
-1.180380038674436971e+00 3.096050602587506195e-01 3.049172056220172955e-02 -2.757921464976616499e-01 2.975613540061039855e-02
-7.460561048256741934e-01 1.443607997839114754e-01 3.022829345678882534e-02 -1.804076377676462062e-01 2.961179167474967816e-02
-3.117321709769105276e-01 8.050389638149083038e-02 2.451141480730864922e-02 -8.794542116675971299e-02 2.415166213211918100e-02
8.918222949887066875e-02 3.737988982548947486e-02 2.576246755868411703e-02 -2.384746368265889052e-02 2.532417231836142646e-02
4.900966299746523092e-01 -1.580292464732772351e-01 2.856634202452366933e-02 1.597665862807587933e-01 2.801766527557020270e-02
9.882024002627445292e-01 -2.848052765675808673e-01 3.521256469818044577e-02 2.256582013885123361e-01 3.451445447143385720e-02
1.422526334111507751e+00 -3.484682946848451368e-01 3.580483819541031149e-02 3.365912521114822753e-01 3.501972496603943802e-02
1.856850267960270973e+00 -6.601427932357234463e-01 5.533897276472304200e-02 5.826296555950509770e-01 5.414916195925623121e-02
2.291174201809034194e+00 -9.356140697665655814e-01 8.175607441692575583e-02 9.204729037083753118e-01 8.021194236733618366e-02
2.725498135657797416e+00 -2.116635755696076426e+00 2.649471088890159587e-01 1.846604292921149248e+00 2.589632829710091788e-01
3.193231602879542219e+00 -2.613066888154390366e+00 1.526935079547434126e+00 1.414815871605650921e+00 1.510035098688845334e+00
3.624518306421670832e+00 2.130526733641293191e+00 2.394306005346491795e-01 -2.269905277186273551e+00 2.349485038362266187e-01
4.025432706897452917e+00 1.037178589509444970e+00 8.525557843342290720e-02 -8.881016965426975496e-01 8.306102625240011084e-02
4.493166174119197720e+00 6.110652429772260863e-01 5.095427058243951618e-02 -6.625602883613240790e-01 5.004887035062842437e-02
4.927490107967960498e+00 4.681890474056854545e-01 3.711167567883381230e-02 -3.663885862921339442e-01 3.628617800189014309e-02
5.328404508443742138e+00 2.708781071178482103e-01 3.507201878911163362e-02 -2.471797368925444938e-01 3.447718142845308115e-02
5.759691211985870751e+00 7.853071554029958379e-02 3.039108337939410917e-02 -1.520406970998963159e-01 2.962448611816369606e-02
6.194015145834633529e+00 4.826486002172567652e-02 3.062152069919396244e-02 2.854161681497163414e-02 3.008928571084300632e-02
6.661748613056378332e+00 -8.372010367416185539e-02 2.817458286998274219e-02 2.312930945433650312e-02 2.755428444265153529e-02
