# chi cos2 cos2err
-1.504999999999999893e+00 1.997240251835129072e+02 4.329203670579194752e-01
-1.362000000000000099e+00 5.851934337426880575e+02 6.067514949639246646e-01
-1.229999999999999982e+00 1.203436616269331353e+03 6.458033664689118991e-01
-1.088000000000000078e+00 1.526512054854634926e+03 8.171643845606645362e-01
-9.340000000000000524e-01 1.573950435444765162e+03 8.493939362083855471e-01
-8.020000000000000462e-01 1.005173234692170013e+03 9.578720715502675453e-01
-6.590000000000000302e-01 4.348003453377779124e+02 8.950573565383730390e-01
-5.160000000000000142e-01 -9.712361946517200977e+02 9.674055602502711348e-01
-3.739999999999999991e-01 -1.482633760400473193e+03 9.827203760583005376e-01
-2.200000000000000011e-01 -1.140076837984800477e+03 7.334970133039149243e-01
-7.699999999999999900e-02 -1.078324120228235643e+03 6.474061669689531451e-01
8.799999999999999489e-02 -4.855536372641024627e+02 5.565159930271721400e-01
2.089999999999999913e-01 -1.521402172212079051e+02 4.300056429165051153e-01
3.519999999999999796e-01 1.044723308961758512e+01 3.895272916505742589e-01
5.050000000000000044e-01 1.700762024755553057e+02 4.864755467044498682e-01
6.480000000000000204e-01 4.717968732151468885e+02 5.311387672096103962e-01
8.020000000000000462e-01 1.030017222870353635e+03 7.684482367774897460e-01
9.230000000000000426e-01 1.562920155001534795e+03 8.169287726669350880e-01
1.076999999999999957e+00 1.498229297543048915e+03 8.660526074857354262e-01
1.219000000000000083e+00 8.470746626595888529e+02 1.118181415293689751e+00
1.362000000000000099e+00 1.030605378383979165e+01 9.733224405427026715e-01
1.504999999999999893e+00 -5.827988024988302413e+02 8.505376604243469751e-01
