# chi w_im1 w_im1_err w_im2 w_im2_err
-2.600066457678395171e+00 1.924789013343000788e+00 1.998844091897509223e-01 -1.892821277538619951e+00 1.961818711903353107e-01
-2.159519342251436935e+00 9.432626668762590372e-01 7.688218911098181063e-02 -9.320172402655392263e-01 7.555410356360750534e-02
-1.752860466472706324e+00 6.598458124479152920e-01 4.191983679313748129e-02 -6.198506544728140666e-01 4.094372772374735986e-02
-1.315394100104677833e+00 4.149525458359421548e-01 3.500084618415964799e-02 -3.813973278398590239e-01 3.452579987314628729e-02
-8.409587450294919719e-01 2.696555516510212858e-01 2.802918108722260090e-02 -2.095736169889059752e-01 2.758076096791173618e-02
-4.342998692507613612e-01 1.292499632456405867e-01 2.694491220780119087e-02 -1.112106043301629849e-01 2.628097586814690315e-02
6.247246176196874501e-03 5.108522154636479379e-02 2.396017669662331082e-02 -3.916626495567783472e-02 2.339946364964512818e-02
4.467943616031553322e-01 -1.269848475238352092e-01 2.745941275834453549e-02 1.148018536244266308e-01 2.686958143948132982e-02
8.842607279711840462e-01 -2.598032937657813179e-01 3.280837097594788837e-02 2.038457271343023791e-01 3.212209700141812480e-02
1.358696083046369907e+00 -3.378186272502815557e-01 3.290589383838024573e-02 4.556351501293738893e-01 3.249030823341980678e-02
1.799243198473328142e+00 -6.682347272933552018e-01 4.514696069091733710e-02 6.326163700572666748e-01 4.427615193969302448e-02
2.307566793196741628e+00 -1.006202977384352604e+00 8.331206846552988154e-02 9.522167388234085150e-01 8.147440811029907359e-02
2.680337429327244614e+00 -2.165498916617737191e+00 2.707516173900877399e-01 2.410149008876579568e+00 2.647994948986840957e-01
3.120884544754202850e+00 -1.139853364220285492e+00 1.402731535790880724e+00 4.749492030679482446e-01 1.374161281435616999e+00
3.592239150770459410e+00 2.657643052887740609e+00 3.321558257690354066e-01 -2.372495056000372582e+00 3.197714817009640331e-01
4.032786266197417646e+00 1.051470114813379819e+00 8.372230867278630806e-02 -1.034149121525168358e+00 8.180192473964599531e-02
4.507221621272603507e+00 6.490919193522307618e-01 5.387231608850825276e-02 -6.238074845257872703e-01 5.328375281282633769e-02
4.879992257403106493e+00 4.593911934054880630e-01 3.662512525224761312e-02 -4.113476376739925722e-01 3.595662520241808824e-02
5.354427612478292353e+00 2.658656034180680305e-01 2.913013268337387093e-02 -2.524295655201044819e-01 2.859546194201360164e-02
5.791893978846321289e+00 1.141507787271409113e-01 3.225735470780240199e-02 -1.391319049768495186e-01 3.152797688121891651e-02
6.232441094273278637e+00 1.273813955779777964e-03 2.677618628669424169e-02 -2.464154027669368530e-02 2.610285736382944241e-02
6.672988209700237761e+00 -7.372392637173676155e-02 2.370187291581702521e-02 1.012570060814315387e-01 2.331175493468138141e-02
