* begin:	15/09/2023 20:55:15
* script file:	D:\data\Cycle 192ter\exp_3-16-14\rawdata\sc\TOF_vs_chi_S2+A1_19pt_pi8_1500s.cfg
*
* no cfg file, sc file created manually
* 0	0.1495000	5.0	49635	126	30923	160226	3777650419	49761	0.0000000	0.0000000
* Date: 15/09/2023	Time: 21:20
* Pulsetime (탎):0.000003	Looptime (탎): 434.000000	BinWidth (탎): 3.000000	BinCount: 145	measured time (s): 1500.024000
* Bin NR >>  탎  >>  rec.time  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	1500.02	140	547
1	3.00	1500.02	293	993
2	6.00	1500.02	313	978
3	9.00	1500.02	312	980
4	12.00	1500.02	323	978
5	15.00	1500.02	311	1040
6	18.00	1500.02	323	1021
7	21.00	1500.02	349	1043
8	24.00	1500.02	351	1107
9	27.00	1500.02	340	1135
10	30.00	1500.02	371	1015
11	33.00	1500.02	351	1115
12	36.00	1500.02	406	1191
13	39.00	1500.02	387	1096
14	42.00	1500.02	360	1048
15	45.00	1500.02	318	1039
16	48.00	1500.02	389	1084
17	51.00	1500.02	399	955
18	54.00	1500.02	384	1005
19	57.00	1500.02	381	910
20	60.00	1500.02	383	1050
21	63.00	1500.02	314	1020
22	66.00	1500.02	375	1076
23	69.00	1500.02	324	1079
24	72.00	1500.02	330	1187
25	75.00	1500.02	306	1182
26	78.00	1500.02	252	1243
27	81.00	1500.02	278	1166
28	84.00	1500.02	240	1224
29	87.00	1500.02	253	1216
30	90.00	1500.02	243	1190
31	93.00	1500.02	273	1221
32	96.00	1500.02	279	1233
33	99.00	1500.02	273	1201
34	102.00	1500.02	333	1182
35	105.00	1500.02	348	1167
36	108.00	1500.02	338	1085
37	111.00	1500.02	366	1125
38	114.00	1500.02	361	1138
39	117.00	1500.02	377	1063
40	120.00	1500.02	371	1044
41	123.00	1500.02	389	1065
42	126.00	1500.02	382	1089
43	129.00	1500.02	371	1087
44	132.00	1500.02	452	1037
45	135.00	1500.02	362	1012
46	138.00	1500.02	375	1093
47	141.00	1500.02	335	1084
48	144.00	1500.02	386	1087
49	147.00	1500.02	375	1086
50	150.00	1500.02	351	1072
51	153.00	1500.02	318	1095
52	156.00	1500.02	337	1112
53	159.00	1500.02	323	1057
54	162.00	1500.02	357	1039
55	165.00	1500.02	306	1080
56	168.00	1500.02	338	1069
57	171.00	1500.02	286	1050
58	174.00	1500.02	340	1089
59	177.00	1500.02	359	1076
60	180.00	1500.02	357	1124
61	183.00	1500.02	300	1125
62	186.00	1500.02	323	1170
63	189.00	1500.02	334	1110
64	192.00	1500.02	359	1133
65	195.00	1500.02	355	1181
66	198.00	1500.02	349	1288
67	201.00	1500.02	347	1232
68	204.00	1500.02	341	1200
69	207.00	1500.02	350	1212
70	210.00	1500.02	349	1172
71	213.00	1500.02	346	1182
72	216.00	1500.02	378	1170
73	219.00	1500.02	338	1187
74	222.00	1500.02	363	1180
75	225.00	1500.02	370	1112
76	228.00	1500.02	350	1091
77	231.00	1500.02	379	1100
78	234.00	1500.02	341	1054
79	237.00	1500.02	388	988
80	240.00	1500.02	387	949
81	243.00	1500.02	397	912
82	246.00	1500.02	376	884
83	249.00	1500.02	430	876
84	252.00	1500.02	418	928
85	255.00	1500.02	349	875
86	258.00	1500.02	339	1000
87	261.00	1500.02	373	991
88	264.00	1500.02	352	1107
89	267.00	1500.02	308	1061
90	270.00	1500.02	328	1189
91	273.00	1500.02	291	1195
92	276.00	1500.02	331	1227
93	279.00	1500.02	278	1262
94	282.00	1500.02	291	1234
95	285.00	1500.02	337	1289
96	288.00	1500.02	309	1150
97	291.00	1500.02	316	1218
98	294.00	1500.02	372	1248
99	297.00	1500.02	350	1175
100	300.00	1500.02	338	1236
101	303.00	1500.02	346	1127
102	306.00	1500.02	329	1159
103	309.00	1500.02	340	1131
104	312.00	1500.02	323	1193
105	315.00	1500.02	318	1030
106	318.00	1500.02	358	1038
107	321.00	1500.02	296	1028
108	324.00	1500.02	310	1094
109	327.00	1500.02	271	1025
110	330.00	1500.02	338	1036
111	333.00	1500.02	336	1076
112	336.00	1500.02	319	1047
113	339.00	1500.02	338	1045
114	342.00	1500.02	350	1065
115	345.00	1500.02	385	1121
116	348.00	1500.02	348	1168
117	351.00	1500.02	409	1134
118	354.00	1500.02	364	1115
119	357.00	1500.02	378	1128
120	360.00	1500.02	393	1157
121	363.00	1500.02	392	1035
122	366.00	1500.02	432	1102
123	369.00	1500.02	406	1057
124	372.00	1500.02	386	1107
125	375.00	1500.02	360	1104
126	378.00	1500.02	388	1093
127	381.00	1500.02	330	1076
128	384.00	1500.02	369	1145
129	387.00	1500.02	310	1113
130	390.00	1500.02	321	1058
131	393.00	1500.02	323	1174
132	396.00	1500.02	311	1217
133	399.00	1500.02	311	1246
134	402.00	1500.02	329	1156
135	405.00	1500.02	344	1243
136	408.00	1500.02	330	1157
137	411.00	1500.02	308	1222
138	414.00	1500.02	345	1226
139	417.00	1500.02	318	1172
140	420.00	1500.02	348	1204
141	423.00	1500.02	321	1181
142	426.00	1500.02	345	1117
143	429.00	1500.02	325	1104
144	432.00	1500.02	338	1067
* end: 15/09/2023 21:20:22
