*Begin rocking: 27/03/2024 17:04:33
*Points: 0
*
*notes: 
*Rho-Axis: 6.660
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.9315200	2	7	1	7	0	8
         1	0.9315600	2	0	3	1	0	3
         2	0.9316100	2	5	1	1	0	6
         3	0.9316500	2	0	3	3	0	3
         4	0.9317100	2	4	0	3	1	4
         5	0.9317600	2	6	6	2	0	12
         6	0.9318000	2	14	4	5	1	18
         7	0.9318500	2	15	8	2	0	23
         8	0.9319000	2	32	11	3	0	43
         9	0.9319500	2	58	23	2	1	81
        10	0.9320000	2	106	59	2	1	165
        11	0.9320600	2	155	190	3	0	345
        12	0.9321000	2	205	322	3	0	527
        13	0.9321500	2	292	682	4	0	974
        14	0.9322000	2	278	865	3	0	1143
        15	0.9322600	2	272	844	3	0	1116
        16	0.9323000	2	310	905	3	0	1215
        17	0.9323500	2	300	840	5	2	1140
        18	0.9324100	2	230	631	1	0	861
        19	0.9324500	2	182	325	2	1	507
        20	0.9325000	2	137	154	2	1	291
        21	0.9325600	2	100	59	4	0	159
*stopped by user: 27/03/2024 17:05:55
