*Begin rocking: 27/09/2023 08:22:42
*Points: 0
*
*notes: 
*Rho-Axis: 8.030
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.1468000	5	4	235	31814	14	239
         1	0.1468900	5	3	333	31811	8	336
         2	0.1470100	5	4	471	31626	22	475
         3	0.1471100	5	13	674	31592	25	687
         4	0.1472100	5	42	922	31586	111	964
         5	0.1473000	5	111	1353	31343	322	1464
         6	0.1474100	5	224	2221	31729	745	2445
         7	0.1475000	5	395	2782	32042	1281	3177
         8	0.1476100	5	450	2913	31780	1530	3363
         9	0.1477100	5	451	2295	31460	1500	2746
        10	0.1478000	5	299	1582	31973	896	1881
        11	0.1479000	5	119	1186	31815	363	1305
        12	0.1480100	5	46	853	31609	150	899
        13	0.1481000	5	23	562	31929	70	585
        14	0.1482100	5	4	406	31937	30	410
*stopped by user: 27/09/2023 08:24:21
