*Begin rocking: 23/08/2023 15:02:18
*Points: 0
*
*notes: 
*Rho-Axis: 8.030
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.1465000	5	7	48	29539	36	55
         1	0.1466000	5	3	54	29716	46	57
         2	0.1466900	5	6	41	29814	49	47
         3	0.1468100	5	2	65	29291	73	67
         4	0.1469100	5	7	93	29453	73	100
         5	0.1470000	5	8	97	29612	89	105
         6	0.1471100	5	10	106	29340	120	116
         7	0.1472000	5	19	145	29612	111	164
         8	0.1473100	5	17	192	29855	171	209
         9	0.1474100	5	57	251	28885	272	308
        10	0.1475100	5	96	314	29638	366	410
        11	0.1476000	5	183	472	29202	485	655
        12	0.1477100	5	324	682	29588	640	1006
        13	0.1478000	5	447	874	29378	811	1321
        14	0.1479100	5	511	1045	29468	844	1556
        15	0.1480100	5	433	1073	29805	793	1506
        16	0.1481000	5	336	863	29566	700	1199
        17	0.1482000	5	197	580	29422	568	777
        18	0.1483000	5	158	464	29801	449	622
        19	0.1484100	5	65	372	29642	370	437
        20	0.1485000	5	47	303	29249	315	350
        21	0.1485900	5	74	358	29665	333	432
        22	0.1487100	5	55	359	29391	373	414
        23	0.1488000	5	91	396	29591	405	487
        24	0.1489000	5	190	494	29827	550	684
        25	0.1490000	5	378	634	29625	654	1012
        26	0.1491100	5	502	954	29365	857	1456
        27	0.1492100	5	481	1048	29325	826	1529
        28	0.1493000	5	464	931	29312	790	1395
        29	0.1494000	5	338	707	29409	641	1045
        30	0.1495000	5	191	525	29491	543	716
        31	0.1496000	5	127	389	29472	371	516
        32	0.1497000	5	67	286	29507	271	353
*stopped by user: 23/08/2023 15:06:04
