*Begin rocking: 28/08/2023 10:12:40
*Points: 0
*
*notes: 
*Rho-Axis: 8.030
N	encoder[°]	time[s]	O-Detector	H-Detector	Monitor	Aux
         0	0.1466000	5	5	183	29345	10	188
         1	0.1467100	5	7	226	29442	11	233
         2	0.1468000	5	6	282	29434	15	288
         3	0.1469100	5	25	443	29794	29	468
         4	0.1470000	5	29	542	29701	41	571
         5	0.1471100	5	70	761	29566	105	831
         6	0.1472100	5	65	981	29247	185	1046
         7	0.1473100	5	109	1094	29761	252	1203
         8	0.1474000	5	109	934	29434	373	1043
         9	0.1475100	5	67	908	29629	209	975
        10	0.1476100	5	49	718	29339	156	767
        11	0.1477000	5	27	516	29794	101	543
        12	0.1478000	5	19	415	29503	54	434
        13	0.1479100	5	10	345	29289	37	355
        14	0.1480100	5	22	369	29353	38	391
        15	0.1481000	5	12	369	29367	33	381
        16	0.1482000	5	25	423	29492	40	448
        17	0.1483000	5	16	566	29370	67	582
        18	0.1484000	5	40	779	29199	143	819
        19	0.1485100	5	93	916	29278	251	1009
        20	0.1486000	5	97	1154	29485	279	1251
        21	0.1486900	5	91	1126	29039	255	1217
        22	0.1488100	5	80	828	29587	231	908
        23	0.1489100	5	45	611	29509	136	656
        24	0.1490100	5	21	440	29485	64	461
        25	0.1491100	5	7	298	29427	24	305
        26	0.1492100	5	5	237	29397	15	242
        27	0.1493100	5	2	158	28761	17	160
        28	0.1494100	5	2	139	29791	21	141
        29	0.1495000	5	1	116	29507	7	117
        30	0.1496100	5	7	90	29351	10	97
        31	0.1497100	5	0	82	29191	10	82
        32	0.1498000	5	1	66	28973	7	67
        33	0.1498900	5	1	53	29473	6	54
        34	0.1500100	5	0	49	29845	3	49
        35	0.1501000	5	1	48	29484	7	49
        36	0.1502100	5	2	33	29244	4	35
        37	0.1503100	5	0	39	29882	3	39
        38	0.1504100	5	1	43	29462	5	44
        39	0.1505200	5	0	29	29161	6	29
        40	0.1506200	5	2	20	29366	4	22
        41	0.1507000	5	2	18	29530	4	20
        42	0.1508000	5	0	15	29314	3	15
        43	0.1509100	5	1	16	29646	4	17
        44	0.1510000	5	0	16	29806	5	16
*stopped by user: 28/08/2023 10:17:47
