# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
-1.010742 10.0 761 3182 76980 1867 3782192916 3943 0.000000 0.000000
-0.802002 10.0 825 2464 76587 2321 3782192932 3289 0.000000 0.000000
-0.604248 10.0 833 2482 76820 2344 3782192948 3315 0.000000 0.000000
-0.395508 10.0 736 2842 76793 2034 3782192965 3578 0.000000 0.000000
-0.219727 10.0 558 3717 76899 1427 3782192981 4275 0.000000 0.000000
0.010986 10.0 354 4589 76806 954 3782192997 4943 0.000000 0.000000
0.197754 10.0 253 5121 76545 550 3782193013 5374 0.000000 0.000000
0.395508 10.0 209 5565 76454 332 3782193029 5774 0.000000 0.000000
0.604248 10.0 306 5050 76291 665 3782193045 5356 0.000000 0.000000
0.780029 10.0 486 4108 76004 1184 3782193062 4594 0.000000 0.000000
1.010742 10.0 671 3445 76669 1703 3782193078 4116 0.000000 0.000000
1.186523 10.0 786 2599 76640 2158 3782193094 3385 0.000000 0.000000
1.395264 10.0 879 2361 76798 2357 3782193110 3240 0.000000 0.000000
1.593018 10.0 784 2748 77163 2067 3782193126 3532 0.000000 0.000000
1.790771 10.0 639 3347 77022 1787 3782193142 3986 0.000000 0.000000
1.988525 10.0 423 4364 76277 1099 3782193158 4787 0.000000 0.000000
2.197266 10.0 239 5269 76087 503 3782193175 5508 0.000000 0.000000
2.395020 10.0 202 5275 76985 469 3782193191 5477 0.000000 0.000000
2.603760 10.0 267 5003 76674 610 3782193207 5270 0.000000 0.000000
2.801514 10.0 472 4432 76538 969 3782193223 4904 0.000000 0.000000
2.988281 10.0 611 3564 76651 1545 3782193239 4175 0.000000 0.000000
3.197021 10.0 759 2729 76966 2072 3782193255 3488 0.000000 0.000000
3.394775 10.0 960 2187 76531 2468 3782193272 3147 0.000000 0.000000
3.603516 10.0 795 2632 77158 2211 3782193288 3427 0.000000 0.000000
3.790283 10.0 669 3423 76905 1625 3782193304 4092 0.000000 0.000000
3.988037 10.0 462 4233 77287 1087 3782193320 4695 0.000000 0.000000
4.185791 10.0 293 5194 76899 592 3782193336 5487 0.000000 0.000000
4.383545 10.0 183 5560 76410 342 3782193353 5743 0.000000 0.000000
4.603271 10.0 212 5222 76938 533 3782193369 5434 0.000000 0.000000
4.812012 10.0 413 4326 76289 1015 3782193385 4739 0.000000 0.000000
4.998779 10.0 656 3471 76788 1638 3782193401 4127 0.000000 0.000000
