# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H+AUX encod1 encod2 current(Amp)
-2.988281 20.0 477 4106 130602 1447 3776526172 6030 0.000000 0.000000 -0.200000
-2.801514 20.0 675 3273 130012 2093 3776526199 6041 0.000000 0.000000 -0.200000
-2.603760 20.0 749 2686 130736 2327 3776526226 5762 0.000000 0.000000 -0.200000
-2.395020 20.0 804 2893 128453 2134 3776526253 5831 0.000000 0.000000 -0.200000
-2.197266 20.0 654 3569 127845 1696 3776526279 5919 0.000000 0.000000 -0.200000
-1.999512 20.0 454 4381 127681 1095 3776526306 5930 0.000000 0.000000 -0.200000
-1.812744 20.0 378 5292 127642 505 3776526333 6175 0.000000 0.000000 -0.200000
-1.604004 20.0 239 5768 128889 268 3776526360 6275 0.000000 0.000000 -0.200000
-1.406250 20.0 243 5464 129440 471 3776526386 6178 0.000000 0.000000 -0.200000
-1.197510 20.0 308 4818 127786 858 3776526413 5984 0.000000 0.000000 -0.200000
-1.010742 20.0 516 3872 128615 1507 3776526439 5895 0.000000 0.000000 -0.200000
-0.791016 20.0 712 3093 128521 2133 3776526466 5938 0.000000 0.000000 -0.200000
-0.615234 20.0 773 2751 128016 2261 3776526493 5785 0.000000 0.000000 -0.200000
-0.395508 20.0 750 2963 128747 2146 3776526520 5859 0.000000 0.000000 -0.200000
-0.197754 20.0 641 3586 128441 1691 3776526546 5918 0.000000 0.000000 -0.200000
0.010986 20.0 458 4766 128825 884 3776526573 6108 0.000000 0.000000 -0.200000
0.197754 20.0 301 5191 128347 503 3776526599 5995 0.000000 0.000000 -0.200000
0.406494 20.0 231 5780 128561 303 3776526626 6314 0.000000 0.000000 -0.200000
0.593262 20.0 236 5616 123029 311 3776526653 6163 0.000000 0.000000 -0.200000
0.791016 20.0 322 4835 125512 864 3776526679 6021 0.000000 0.000000 -0.200000
0.988769 20.0 540 4051 125669 1511 3776526706 6102 0.000000 0.000000 -0.200000
1.197510 20.0 637 3172 125103 2018 3776526733 5827 0.000000 0.000000 -0.200000
1.373291 20.0 701 2846 129434 2297 3776526759 5844 0.000000 0.000000 -0.200000
1.614990 20.0 815 2711 131702 2309 3776526786 5835 0.000000 0.000000 -0.200000
1.790771 20.0 727 3241 131732 1905 3776526813 5873 0.000000 0.000000 -0.200000
1.988525 20.0 554 3983 131305 1333 3776526839 5870 0.000000 0.000000 -0.200000
2.208252 20.0 381 4969 130468 686 3776526866 6036 0.000000 0.000000 -0.200000
2.384033 20.0 256 5663 129773 342 3776526893 6261 0.000000 0.000000 -0.200000
2.603760 20.0 202 5676 130284 363 3776526919 6241 0.000000 0.000000 -0.200000
2.801514 20.0 315 4771 130119 915 3776526946 6001 0.000000 0.000000 -0.200000
2.999268 20.0 470 4143 128880 1481 3776526973 6094 0.000000 0.000000 -0.200000
