# ps_pos exposure_time(s) O-Beam H-Beam Monitor AUX-Beam time(s) O+H encod1 encod2
0.010986 10.0 70 892 111293 168 3782028647 962 0.000000 0.000000
0.197754 10.0 52 984 111300 81 3782028674 1036 0.000000 0.000000
0.395508 10.0 69 852 111508 147 3782028701 921 0.000000 0.000000
0.604248 10.0 79 800 111010 179 3782028728 879 0.000000 0.000000
0.791016 10.0 126 666 111808 278 3782028756 792 0.000000 0.000000
0.988769 10.0 147 569 111596 358 3782028783 716 0.000000 0.000000
1.186523 10.0 157 517 111049 424 3782028810 674 0.000000 0.000000
1.395264 10.0 145 459 111173 402 3782028838 604 0.000000 0.000000
1.593018 10.0 104 587 110905 357 3782028865 691 0.000000 0.000000
1.801758 10.0 88 724 111468 235 3782028892 812 0.000000 0.000000
1.999512 10.0 55 884 110935 166 3782028919 939 0.000000 0.000000
2.197266 10.0 40 957 111282 98 3782028947 997 0.000000 0.000000
2.395020 10.0 48 936 110945 72 3782028974 984 0.000000 0.000000
2.603760 10.0 81 796 111035 134 3782029001 877 0.000000 0.000000
2.790527 10.0 120 689 111264 270 3782029028 809 0.000000 0.000000
3.010254 10.0 138 618 111178 292 3782029056 756 0.000000 0.000000
3.197021 10.0 144 463 111124 420 3782029083 607 0.000000 0.000000
3.394775 10.0 157 483 110915 423 3782029110 640 0.000000 0.000000
3.603516 10.0 105 647 111148 304 3782029138 752 0.000000 0.000000
3.801270 10.0 115 696 111480 237 3782029165 811 0.000000 0.000000
3.999023 10.0 51 910 110567 154 3782029192 961 0.000000 0.000000
