# chi w_im1 w_im1_err w_im2 w_im2_err
-6.599839253171175812e+00 3.408275409634467512e-02 3.060074357966758793e-02 -1.102769444731283022e-01 3.031710874930639357e-02
-6.099953959173046059e+00 -6.031905164040627515e-02 3.148075723767967266e-02 -2.787022051586122984e-02 3.060327548235849265e-02
-5.700045723974541900e+00 -1.347496313603225027e-01 2.717540305585682339e-02 1.975908930909982819e-01 2.676815509339537311e-02
-5.269841410351908451e+00 -2.450985176256250120e-01 3.501265567796047612e-02 2.441593100398489480e-01 3.444161559920913551e-02
-4.836607488886862427e+00 -3.319370607916163340e-01 4.196805827847037429e-02 4.194832645084973777e-01 4.129251621719361165e-02
-4.436699253688358269e+00 -6.183032215214494531e-01 5.015680151615507093e-02 5.790657615797035751e-01 4.853790105818126671e-02
-4.003465332223312245e+00 -8.230422547426955449e-01 8.765986554136827313e-02 6.597645807286899311e-01 8.674755126109026659e-02
-3.536905724491724357e+00 -6.335586133000469244e-01 1.469620247641174882e-01 7.109192769333509965e-01 1.457758366786427728e-01
-3.140027097135632772e+00 2.530313331366335072e-01 2.159846302195943535e-01 -9.929309288380411269e-02 2.107951259284814860e-01
-2.673467489404044883e+00 7.115470531260356113e-01 1.408845031678313819e-01 -9.708913589172090131e-01 1.374112411668710343e-01
-2.273559254205540725e+00 7.846940195123512929e-01 7.261644795246502415e-02 -8.008932174400306137e-01 7.042420986649508552e-02
-1.773673960207410971e+00 5.220872151093366442e-01 4.829097754085477645e-02 -5.435036892303825029e-01 4.748852967626374794e-02
-1.373765725008906813e+00 3.434144885001178538e-01 3.981157790306195932e-02 -3.445084297104196169e-01 3.927496231069214916e-02
-8.738804310107768369e-01 2.032418220701990574e-01 3.318902858705016085e-02 -2.248494326174530211e-01 3.260274748877017154e-02
-4.770018036546854745e-01 1.308038262901809190e-01 2.800131298315531453e-02 -1.046205208170451761e-01 2.752123664466627623e-02
-4.376788218963945098e-02 -3.127188741286349855e-02 2.940970093417803397e-02 5.284987438736140491e-02 2.904340310952518642e-02
3.894660392754065725e-01 -9.764354370896373425e-02 3.042133712471465495e-02 9.244758608284923962e-02 2.996766258956062509e-02
8.560256470069944612e-01 -2.410550248211371926e-01 3.287472492522279521e-02 1.926325907919491653e-01 3.207253208039535786e-02
1.255933882205498620e+00 -3.039572909062175365e-01 3.494953155941747658e-02 4.183913670537713347e-01 3.445245128836475074e-02
1.652812509561589760e+00 -5.005203085142803099e-01 4.325845126270516650e-02 4.884011375458509607e-01 4.238716792585126014e-02
2.119372117293178093e+00 -7.050491190247067941e-01 7.152259072630628989e-02 6.636755012731996306e-01 7.022034973621019138e-02
2.585931725024765981e+00 -8.959477809969542683e-01 1.167738949053544473e-01 1.204912186261834384e+00 1.166021744783978381e-01
