# chi cos2 cos2err
-1.504999999999999893e+00 2.604219407673760998e+02 6.591782360302818056e-01
-1.372999999999999998e+00 1.802795702116319774e+02 7.556689847761789425e-01
-1.219000000000000083e+00 -2.077493545837217823e+02 5.930636021879518438e-01
-1.076999999999999957e+00 -4.367760472266773490e+02 6.423050083492406470e-01
-9.449999999999999512e-01 -4.902227284225678545e+02 5.479828926777403630e-01
-7.910000000000000364e-01 -2.709756312885749594e+02 5.104209310758297535e-01
-6.480000000000000204e-01 -1.294621096679615562e+02 4.229406737835029739e-01
-5.050000000000000044e-01 -7.347943575147755269e+01 3.836816579037037878e-01
-3.629999999999999893e-01 -2.014401858139435220e+01 3.778117929817396137e-01
-2.310000000000000109e-01 5.434865203502514674e+01 3.701672066906964154e-01
-7.699999999999999900e-02 1.261792010006784182e+02 4.579618594653578900e-01
7.699999999999999900e-02 3.146823079099910387e+02 5.090963113302457987e-01
2.200000000000000011e-01 3.717496699910315670e+02 5.533776262681576741e-01
3.519999999999999796e-01 3.380586301881317581e+02 6.259777897224215737e-01
4.939999999999999947e-01 1.901755948802260150e+02 6.603454395477449390e-01
6.480000000000000204e-01 6.730536298515940530e+01 7.342819212069839896e-01
7.910000000000000364e-01 -7.589757971083032828e+01 6.260024392153203943e-01
9.230000000000000426e-01 -3.296888497389644499e+02 6.821893906197776802e-01
1.076999999999999957e+00 -4.066665977772880183e+02 6.629604112380896863e-01
1.207999999999999963e+00 -3.280669693046313000e+02 5.908310688074757122e-01
1.350999999999999979e+00 -1.960275511083636388e+02 4.468983486106777314e-01
1.516000000000000014e+00 -9.229489169723359510e+01 3.824020602870204510e-01
