# chi cos2 cos2err
-1.516000000000000014e+00 2.043939633184045022e+02 9.347079246372969052e-01
-1.350999999999999979e+00 -3.606120866578704636e+02 9.598427790357750844e-01
-1.219000000000000083e+00 -7.477315538236427983e+02 7.944416271191113710e-01
-1.076999999999999957e+00 -1.015151619485082733e+03 8.675368267318432913e-01
-9.340000000000000524e-01 -8.007257717302011315e+02 7.611828789846856180e-01
-8.020000000000000462e-01 -7.765324021528109597e+02 6.096982038986016317e-01
-6.590000000000000302e-01 -4.066136849641203526e+02 5.835725961631180736e-01
-5.050000000000000044e-01 -1.262260867115232230e+02 5.161610660927616889e-01
-3.739999999999999991e-01 2.748342387703685574e+01 4.731967879423958911e-01
-2.200000000000000011e-01 1.558514109805583416e+02 5.305440046600397030e-01
-8.799999999999999489e-02 4.958232466961285922e+02 5.689160197622324944e-01
7.699999999999999900e-02 7.411429145859784740e+02 6.349713157249092799e-01
2.089999999999999913e-01 9.558706737362924741e+02 7.843927112655558753e-01
3.739999999999999991e-01 8.642455745764050334e+02 8.352110956383811402e-01
5.050000000000000044e-01 7.202072702643774846e+02 8.151094001414511681e-01
6.480000000000000204e-01 -1.940753802053089316e+02 9.155340976194789038e-01
7.910000000000000364e-01 -5.737719680418206281e+02 9.184872666680737874e-01
9.449999999999999512e-01 -1.124073178409342290e+03 8.707814466610689363e-01
1.076999999999999957e+00 -9.625908682796516587e+02 7.421976775422890471e-01
1.207999999999999963e+00 -8.493530204135518034e+02 6.335873737627540914e-01
1.362000000000000099e+00 -5.369104588399791282e+02 6.348008529819268997e-01
1.516000000000000014e+00 -2.403943984589158447e+02 5.075511364211955367e-01
