# chi w_im1 w_im1_err w_im2 w_im2_err
-6.757408704511568942e+00 1.271343356583894690e-01 3.679333354133623724e-02 -8.697723791752830225e-02 3.619648139885437571e-02
-6.347734880956222625e+00 7.568509966608580330e-02 3.880549960626451800e-02 -2.040143994315794795e-02 3.804805982829223554e-02
-5.869782086808318589e+00 -9.506601057276643785e-02 3.193627956459845624e-02 8.665666631829715971e-02 3.138758465233975475e-02
-5.429072367529082399e+00 -2.518463248657699105e-01 3.938082113987737692e-02 2.196965942660066007e-01 3.855795253667108208e-02
-5.019398543973735194e+00 -4.408113345128389371e-01 4.334240934013086632e-02 4.136903768627358535e-01 4.244469287365342652e-02
-4.541445749825831157e+00 -4.610724326820602181e-01 5.849097220267753666e-02 4.289757896391631631e-01 5.661968079250910557e-02
-4.097632440974205537e+00 -5.956523442165758686e-01 9.009898464749055425e-02 6.595802032878614884e-01 8.925593402509870988e-02
-3.653819132122580360e+00 -8.562083862112909172e-01 1.550659056362484745e-01 1.016219292445592393e+00 1.543658120125012134e-01
-3.213109412843343726e+00 -4.821936680345498827e-01 2.621554597766495021e-01 4.908049954843285989e-01 2.562417538044999832e-01
-2.803435589287997409e+00 8.341683922783508232e-01 1.830343848963699172e-01 -7.935274504107788784e-01 1.786661317916332370e-01
-2.325482795140092929e+00 7.584156124132743759e-01 1.166550346646350877e-01 -8.541744214651706413e-01 1.144971360668711469e-01
-1.847530000992188670e+00 6.567342788025170019e-01 6.630115560397002727e-02 -4.954297985034188945e-01 6.418108172581467319e-02
-1.403716692140563271e+00 4.030550324027213360e-01 4.865384295000955983e-02 -3.586765312482406154e-01 4.793047031191069451e-02
-9.940428685852167323e-01 2.203514294386234584e-01 4.107486356852318998e-02 -3.080274044943718259e-01 4.044677666476265837e-02
-5.533331493059803208e-01 9.028238160520357658e-02 3.628419970679210016e-02 -1.351167285586823696e-01 3.547284667504799205e-02
-7.538035515807584019e-02 2.965155888940193205e-02 3.871128315921930352e-02 4.126380638155471847e-02 3.812116454131651150e-02
3.684329536935493365e-01 -3.374723183617876765e-02 3.317118260696912124e-02 8.950565796052403766e-02 3.253976200545594805e-02
7.781067772488960976e-01 -1.805096295157881114e-01 4.059500607188289145e-02 2.071334231486958999e-01 4.011120996505372627e-02
1.256059571396800134e+00 -3.428659409429229976e-01 5.039270438619589121e-02 1.920548415105407802e-01 4.920125423241691193e-02
1.662629805379757908e+00 -5.339351966639016567e-01 6.603110400041856121e-02 4.979318580688504858e-01 6.455923592153831048e-02
2.106443114231383085e+00 -6.911616684175757586e-01 8.050455567444600447e-02 8.371551908860971336e-01 7.938492707042106578e-02
2.618535393675566425e+00 -9.818946114719412366e-01 1.452191594633507610e-01 8.014144891562954287e-01 1.419324163327787269e-01
