# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-0.1000000 180.0 893 32078 1135952 30656 3771278778 32971 0.0000000 0.0000000 -0.1867680
-0.0858680 180.0 439 31444 1080012 30648 3771279145 31883 0.0000000 0.0000000 -0.1867680
-0.0717360 180.0 104 31617 1079625 30901 3771279513 31721 0.0000000 0.0000000 -0.1867680
-0.0646700 180.0 109 31297 1079569 30529 3771279880 31406 0.0000000 0.0000000 -0.1867680
-0.0505380 180.0 336 31619 1080378 30340 3771280247 31955 0.0000000 0.0000000 -0.1867680
-0.0364060 180.0 763 31941 1080567 30596 3771280614 32704 0.0000000 0.0000000 -0.1867680
-0.0222740 180.0 1273 31832 1106214 30784 3771280981 33105 0.0000000 0.0000000 -0.1867680
-0.0081420 180.0 1453 31626 1132946 30672 3771281348 33079 0.0000000 0.0000000 -0.1867680
0.0059900 180.0 1481 31479 1133028 30749 3771281716 32960 0.0000000 0.0000000 -0.1867680
0.0201220 180.0 1192 31830 1132684 30830 3771282083 33022 0.0000000 0.0000000 -0.1867680
0.0342540 180.0 648 31727 1131695 30719 3771282450 32375 0.0000000 0.0000000 -0.1867680
0.0483860 180.0 266 31940 1132708 30802 3771282817 32206 0.0000000 0.0000000 -0.1867680
0.0625180 180.0 91 31348 1132143 30652 3771283184 31439 0.0000000 0.0000000 -0.1867680
0.0766500 180.0 273 31677 1130718 30735 3771283551 31950 0.0000000 0.0000000 -0.1867680
0.0907820 180.0 728 31799 1138650 30362 3771283918 32527 0.0000000 0.0000000 -0.1867680
0.1049140 180.0 1168 31683 1132538 30763 3771284285 32851 0.0000000 0.0000000 -0.1867680
