# Current(Amp) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
-0.1000000 120.0 893 14645 753076 18986 3771356684 15538 0.0000000 0.0000000 0.8898930
-0.0858680 120.0 375 14431 753202 19149 3771356932 14806 0.0000000 0.0000000 0.8898930
-0.0717360 120.0 121 14411 752026 19049 3771357179 14532 0.0000000 0.0000000 0.8898930
-0.0646700 120.0 135 14648 752199 19012 3771357426 14783 0.0000000 0.0000000 0.8898930
-0.0505380 120.0 460 14495 752099 18954 3771357673 14955 0.0000000 0.0000000 0.8898930
-0.0364060 120.0 1053 14395 730858 18933 3771357921 15448 0.0000000 0.0000000 0.8898930
-0.0222740 120.0 1616 14507 730278 19114 3771358168 16123 0.0000000 0.0000000 0.8898930
-0.0081420 120.0 1895 14773 729952 18917 3771358415 16668 0.0000000 0.0000000 0.8898930
0.0059900 120.0 1761 14598 729894 18920 3771358662 16359 0.0000000 0.0000000 0.8898930
0.0201220 120.0 1374 14305 731430 18926 3771358910 15679 0.0000000 0.0000000 0.8898930
0.0342540 120.0 760 14595 729190 18852 3771359157 15355 0.0000000 0.0000000 0.8898930
0.0483860 120.0 200 14592 749438 18959 3771359404 14792 0.0000000 0.0000000 0.8898930
0.0625180 120.0 108 14465 752009 18898 3771359651 14573 0.0000000 0.0000000 0.8898930
0.0766500 120.0 400 14474 748625 18907 3771359899 14874 0.0000000 0.0000000 0.8898930
0.0907820 120.0 968 14413 750730 18653 3771360146 15381 0.0000000 0.0000000 0.8898930
0.1049140 120.0 1479 14562 749690 18759 3771360393 16041 0.0000000 0.0000000 0.8898930
