# Position(mm) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
0.0000000 60.0 686 7437 675085 7918 3764005619 8123 0.0000000 0.0000000 108.5253910
5.0000000 60.0 940 7565 645043 7880 3764005687 8505 0.0000000 0.0000000 108.5253910
10.0000000 60.0 1015 7330 637189 7947 3764005755 8345 0.0000000 0.0000000 108.5253910
15.0000000 60.0 798 7377 636562 7934 3764005823 8175 0.0000000 0.0000000 108.5253910
20.0000000 60.0 587 7408 651210 7833 3764005890 7995 0.0000000 0.0000000 108.5253910
25.0000000 60.0 355 7383 656372 7938 3764005958 7738 0.0000000 0.0000000 108.5253910
30.0000000 60.0 123 7602 693131 7923 3764006025 7725 0.0000000 0.0000000 108.5253910
35.0000000 60.0 107 7354 660490 7989 3764006093 7461 0.0000000 0.0000000 108.5253910
40.0000000 60.0 259 7467 630874 7843 3764006161 7726 0.0000000 0.0000000 108.5253910
45.0000000 60.0 573 7419 618757 7779 3764006228 7992 0.0000000 0.0000000 108.5253910
50.0000000 60.0 750 7382 690286 7892 3764006296 8132 0.0000000 0.0000000 108.5253910
55.0000000 60.0 973 7473 646013 7794 3764006364 8446 0.0000000 0.0000000 108.5253910
60.0000000 60.0 996 7528 643225 8015 3764006432 8524 0.0000000 0.0000000 108.5253910
65.0000000 60.0 732 7527 646876 7979 3764006500 8259 0.0000000 0.0000000 108.5253910
70.0000000 60.0 458 7443 734757 7692 3764006567 7901 0.0000000 0.0000000 108.5253910
75.0000000 60.0 229 7349 656991 7776 3764006635 7578 0.0000000 0.0000000 108.5253910
80.0000000 60.0 97 7642 626442 7929 3764006703 7739 0.0000000 0.0000000 108.5253910
85.0000000 60.0 147 7636 638376 7879 3764006770 7783 0.0000000 0.0000000 108.5253910
90.0000000 60.0 426 7423 620557 7881 3764006838 7849 0.0000000 0.0000000 108.5253910
95.0000000 60.0 616 7495 651293 7901 3764006906 8111 0.0000000 0.0000000 108.5253910
