# chi w+ err
1.7822866 16.0137103 4.6559071
2.4290703 -1.5817032 10.1015887
3.0290938 -8.5449361 32.1777580
3.6330193 -8.5449361 44.1476967
4.2252547 20.1029536 7.9626720
4.8252781 20.1029536 3.4878369
5.4253016 20.1029536 2.1923016
6.0214311 19.7524370 1.9908144
6.6214625 19.9620099 2.2740369
7.2175919 20.1029536 2.6771966
7.8176154 20.1029536 3.1154063
8.4176389 12.6709084 11.5522851
9.0137683 -8.5449361 50.5485341
9.6098978 -8.5449361 64.8028252
10.2138232 17.8450491 12.3330109
10.8138467 20.1029536 5.3974266
11.4099762 20.1029536 3.7479573
12.0022116 20.1029536 2.7988261
12.6061370 20.1029536 2.7926100
13.2061605 20.1029536 2.0495597
13.8022900 15.2430786 2.3796514
14.3984194 16.2120411 5.5392752
15.0023449 -8.5449361 10.8141881
15.5984743 -8.5449361 66.5864478
16.1946038 -8.5449361 1.0050937
16.7946272 20.1029536 8.5149297
17.3907567 20.1029536 2.7201625
17.9946821 20.1029536 2.4954375
18.5869096 18.3896751 2.2763989
19.1869410 18.2776146 2.4648594
19.7869645 15.9073964 2.1609333
20.3869880 19.3895742 3.7815940
