# chi w+ err
-4.4255111 14.3798265 0.0457759
-3.7786373 31.6192297 0.0590396
-3.1785302 49.2449354 0.1489671
-2.5745206 -74.5523233 0.1107072
-1.9822027 -51.3853598 0.0667670
-1.3820956 -36.2117967 0.0250124
-0.7819885 -25.4783734 0.0296285
-0.1857760 -15.4585314 0.0135635
0.4143390 -7.4183480 0.0172790
1.0105515 1.7646460 0.0237728
1.6106586 13.6945305 0.0220590
2.2107656 34.3146290 0.0665194
2.8069781 95.4825120 0.1123766
3.4031906 200.3837959 0.1030834
4.0072002 -63.9562817 0.0458672
4.6073073 -39.0700766 0.0396823
5.2035198 -27.0831383 0.0230768
5.7958377 -21.5033953 0.0177058
6.3998473 -12.6420770 0.0262028
6.9999544 -3.7125736 0.0118936
7.5961669 5.0446013 0.0181427
8.1923794 18.1247019 0.0316607
8.7963890 41.0639796 0.0651297
9.3926015 83.5706697 0.2176612
9.9888140 -79.7636605 0.1231733
10.5889210 -54.2758341 0.0520740
11.1851335 -36.3557809 0.0309919
11.7891431 -25.3533852 0.0166916
12.3814531 -16.3759780 0.0217548
12.9815681 -8.7356612 0.0139599
13.5816752 0.8666461 0.0154995
14.1817822 9.7778716 0.0282469
