# Current(A) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos coil_amp(A)
-1.7500000 60.0 134 6341 625773 7929 3764501710 6475 0.0000000 0.0000000 108.2998050 12.5093750
-1.5000000 60.0 227 6413 630611 7831 3764501774 6640 0.0000000 0.0000000 108.2998050 12.5093750
-1.2500000 60.0 771 6222 622730 7891 3764501839 6993 0.0000000 0.0000000 108.2998050 12.5093750
-1.0000000 60.0 1565 6179 625976 7740 3764501903 7744 0.0000000 0.0000000 108.2998050 12.5093750
-0.7500000 60.0 2048 6196 629590 7925 3764501967 8244 0.0000000 0.0000000 108.2998050 12.5093750
-0.5000000 60.0 2258 6342 628351 7969 3764502031 8600 0.0000000 0.0000000 108.2998050 12.5093750
-0.2500000 60.0 1881 6117 626769 7893 3764502095 7998 0.0000000 0.0000000 108.2998050 12.5093750
0.0000000 60.0 1245 6137 626126 8013 3764502159 7382 0.0000000 0.0000000 108.2998050 12.5093750
0.2500000 60.0 516 6227 630841 7867 3764502224 6743 0.0000000 0.0000000 108.2998050 12.5093750
0.5000000 60.0 147 6148 629328 7837 3764502288 6295 0.0000000 0.0000000 108.2998050 12.5093750
0.7500000 60.0 242 6039 628711 7970 3764502352 6281 0.0000000 0.0000000 108.2998050 12.5093750
1.0000000 60.0 783 6169 626942 7833 3764502416 6952 0.0000000 0.0000000 108.2998050 12.5093750
1.2500000 60.0 1542 6292 624704 7944 3764502480 7834 0.0000000 0.0000000 108.2998050 12.5093750
1.5000000 60.0 2109 6218 628306 7914 3764502544 8327 0.0000000 0.0000000 108.2998050 12.5093750
1.7500000 60.0 2244 6404 627755 7919 3764502609 8648 0.0000000 0.0000000 108.2998050 12.5093750
