# Position(mm) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
0.0000000 30.0 288 3777 310658 4018 3763743626 4065 0.0000000 0.0000000 108.3750000
5.0000000 30.0 419 3784 309464 3984 3763743663 4203 0.0000000 0.0000000 108.3750000
10.0000000 30.0 456 3719 308337 3963 3763743701 4175 0.0000000 0.0000000 108.3750000
15.0000000 30.0 515 3657 307967 3869 3763743738 4172 0.0000000 0.0000000 108.3750000
20.0000000 30.0 420 3690 313128 3856 3763743776 4110 0.0000000 0.0000000 108.3750000
25.0000000 30.0 270 3711 312671 4076 3763743814 3981 0.0000000 0.0000000 108.3750000
30.0000000 30.0 171 3694 307325 4077 3763743851 3865 0.0000000 0.0000000 108.3750000
35.0000000 30.0 85 3597 305936 3873 3763743889 3682 0.0000000 0.0000000 108.3750000
40.0000000 30.0 82 3720 312027 4038 3763743926 3802 0.0000000 0.0000000 108.3750000
45.0000000 30.0 174 3680 352578 3946 3763743964 3854 0.0000000 0.0000000 108.3750000
50.0000000 30.0 282 3634 352226 3954 3763744002 3916 0.0000000 0.0000000 108.3750000
55.0000000 30.0 401 3758 335335 4048 3763744039 4159 0.0000000 0.0000000 108.3750000
60.0000000 30.0 496 3687 336367 4004 3763744077 4183 0.0000000 0.0000000 108.3750000
65.0000000 30.0 446 3697 335173 3908 3763744114 4143 0.0000000 0.0000000 108.3750000
70.0000000 30.0 353 3684 337477 3953 3763744152 4037 0.0000000 0.0000000 108.3750000
75.0000000 30.0 229 3798 331979 3930 3763744190 4027 0.0000000 0.0000000 108.3750000
80.0000000 30.0 123 3713 319282 3942 3763744227 3836 0.0000000 0.0000000 108.3750000
85.0000000 30.0 64 3779 322745 3984 3763744265 3843 0.0000000 0.0000000 108.3750000
90.0000000 30.0 94 3783 328638 3978 3763744302 3877 0.0000000 0.0000000 108.3750000
95.0000000 30.0 203 3599 333855 3953 3763744340 3802 0.0000000 0.0000000 108.3750000
