# Position(mm) exposure_time(s) O-Beam H-Beam Monitor H2-Beam time(s) O+H encod1 encod2 phaseshif_pos
0.0000000 30.0 294 2715 308767 3952 3763762275 3009 0.0000000 0.0000000 110.1748050
5.0000000 30.0 585 2651 312001 3963 3763762312 3236 0.0000000 0.0000000 110.1748050
10.0000000 30.0 791 2670 310408 3886 3763762350 3461 0.0000000 0.0000000 110.1748050
15.0000000 30.0 817 2580 314076 3884 3763762387 3397 0.0000000 0.0000000 110.1748050
20.0000000 30.0 819 2735 314527 3987 3763762425 3554 0.0000000 0.0000000 110.1748050
25.0000000 30.0 568 2662 324405 3916 3763762463 3230 0.0000000 0.0000000 110.1748050
30.0000000 30.0 331 2668 324702 3939 3763762500 2999 0.0000000 0.0000000 110.1748050
35.0000000 30.0 140 2675 316162 3967 3763762538 2815 0.0000000 0.0000000 110.1748050
40.0000000 30.0 49 2660 310196 3961 3763762576 2709 0.0000000 0.0000000 110.1748050
45.0000000 30.0 147 2724 311691 3949 3763762613 2871 0.0000000 0.0000000 110.1748050
50.0000000 30.0 336 2702 315022 3949 3763762651 3038 0.0000000 0.0000000 110.1748050
55.0000000 30.0 652 2715 315294 4083 3763762688 3367 0.0000000 0.0000000 110.1748050
60.0000000 30.0 793 2712 303360 4147 3763762726 3505 0.0000000 0.0000000 110.1748050
65.0000000 30.0 871 2734 299422 3943 3763762764 3605 0.0000000 0.0000000 110.1748050
70.0000000 30.0 751 2610 290589 3915 3763762801 3361 0.0000000 0.0000000 110.1748050
75.0000000 30.0 485 2647 327051 4024 3763762839 3132 0.0000000 0.0000000 110.1748050
80.0000000 30.0 250 2550 327080 3913 3763762876 2800 0.0000000 0.0000000 110.1748050
85.0000000 30.0 82 2557 332514 3900 3763762914 2639 0.0000000 0.0000000 110.1748050
90.0000000 30.0 83 2760 336823 4095 3763762952 2843 0.0000000 0.0000000 110.1748050
95.0000000 30.0 240 2620 337596 3944 3763762989 2860 0.0000000 0.0000000 110.1748050
