* begin:	09.06.2021 20:00:54
* script file:	D:\data\Cycle 190\exp_CRG-2887\rawdata\sc\TOF_PS_RF2_weak_2h.cfg
*
* no cfg file, sc file created manually
* 0	43.1000977	10.0	13764	2609	64279	37976	3706113658	16373	0.0000000	0.0000000
* Date: 09.06.2021	Time: 22:00
* Pulsetime (탎):0.000003	Looptime (탎): 304.000000	BinWidth (탎): 1.000000	BinCount: 305	measured time (s): 7200.020000
* Bin NR >>  탎  >>  Counts O  >>  Counts AUX
* begin of data:
0	0.00	14	55
1	1.00	32	126
2	2.00	35	115
3	3.00	43	118
4	4.00	45	100
5	5.00	46	98
6	6.00	44	118
7	7.00	35	94
8	8.00	52	129
9	9.00	33	118
10	10.00	43	133
11	11.00	53	127
12	12.00	39	127
13	13.00	52	136
14	14.00	42	150
15	15.00	36	157
16	16.00	49	141
17	17.00	37	122
18	18.00	42	126
19	19.00	43	112
20	20.00	41	135
21	21.00	42	108
22	22.00	44	111
23	23.00	44	130
24	24.00	46	103
25	25.00	51	140
26	26.00	38	113
27	27.00	52	112
28	28.00	43	125
29	29.00	40	129
30	30.00	54	146
31	31.00	44	131
32	32.00	51	143
33	33.00	41	128
34	34.00	49	142
35	35.00	48	128
36	36.00	42	132
37	37.00	52	120
38	38.00	40	132
39	39.00	55	125
40	40.00	50	117
41	41.00	36	97
42	42.00	54	106
43	43.00	52	105
44	44.00	53	128
45	45.00	54	121
46	46.00	42	140
47	47.00	49	111
48	48.00	41	150
49	49.00	48	161
50	50.00	52	147
51	51.00	36	129
52	52.00	63	140
53	53.00	51	121
54	54.00	36	143
55	55.00	62	136
56	56.00	53	120
57	57.00	36	95
58	58.00	39	120
59	59.00	44	92
60	60.00	49	105
61	61.00	40	109
62	62.00	48	126
63	63.00	42	131
64	64.00	47	124
65	65.00	44	125
66	66.00	40	129
67	67.00	39	144
68	68.00	53	139
69	69.00	39	119
70	70.00	59	124
71	71.00	66	128
72	72.00	60	134
73	73.00	47	125
74	74.00	44	115
75	75.00	40	102
76	76.00	42	107
77	77.00	53	104
78	78.00	43	111
79	79.00	32	96
80	80.00	44	106
81	81.00	49	111
82	82.00	38	142
83	83.00	38	123
84	84.00	62	161
85	85.00	35	129
86	86.00	34	141
87	87.00	34	153
88	88.00	42	141
89	89.00	35	125
90	90.00	57	120
91	91.00	41	125
92	92.00	44	121
93	93.00	40	117
94	94.00	41	90
95	95.00	62	114
96	96.00	43	108
97	97.00	42	118
98	98.00	56	113
99	99.00	53	116
100	100.00	43	130
101	101.00	46	122
102	102.00	52	123
103	103.00	40	132
104	104.00	49	159
105	105.00	55	139
106	106.00	54	136
107	107.00	46	132
108	108.00	36	143
109	109.00	47	122
110	110.00	46	113
111	111.00	45	101
112	112.00	51	127
113	113.00	35	84
114	114.00	46	109
115	115.00	45	116
116	116.00	61	110
117	117.00	47	114
118	118.00	43	148
119	119.00	54	137
120	120.00	51	134
121	121.00	46	118
122	122.00	49	150
123	123.00	33	120
124	124.00	42	156
125	125.00	44	143
126	126.00	41	113
127	127.00	48	109
128	128.00	45	115
129	129.00	42	94
130	130.00	55	105
131	131.00	46	98
132	132.00	48	119
133	133.00	35	108
134	134.00	51	122
135	135.00	52	119
136	136.00	48	130
137	137.00	50	136
138	138.00	44	131
139	139.00	33	120
140	140.00	43	125
141	141.00	49	139
142	142.00	40	138
143	143.00	44	136
144	144.00	43	123
145	145.00	42	121
146	146.00	48	119
147	147.00	36	111
148	148.00	48	114
149	149.00	47	98
150	150.00	57	112
151	151.00	49	104
152	152.00	41	109
153	153.00	39	119
154	154.00	38	138
155	155.00	54	130
156	156.00	39	163
157	157.00	54	132
158	158.00	50	173
159	159.00	50	136
160	160.00	51	149
161	161.00	47	148
162	162.00	46	128
163	163.00	52	128
164	164.00	46	134
165	165.00	54	83
166	166.00	61	131
167	167.00	43	116
168	168.00	54	112
169	169.00	47	91
170	170.00	45	122
171	171.00	46	115
172	172.00	57	157
173	173.00	42	141
174	174.00	37	139
175	175.00	42	127
176	176.00	61	137
177	177.00	51	147
178	178.00	52	145
179	179.00	51	133
180	180.00	47	114
181	181.00	40	125
182	182.00	41	121
183	183.00	48	115
184	184.00	61	134
185	185.00	57	93
186	186.00	43	109
187	187.00	47	116
188	188.00	38	133
189	189.00	41	129
190	190.00	45	113
191	191.00	46	133
192	192.00	41	143
193	193.00	45	141
194	194.00	39	145
195	195.00	39	138
196	196.00	57	156
197	197.00	37	134
198	198.00	41	132
199	199.00	32	120
200	200.00	46	123
201	201.00	34	109
202	202.00	52	93
203	203.00	47	101
204	204.00	48	122
205	205.00	52	124
206	206.00	43	121
207	207.00	36	112
208	208.00	44	141
209	209.00	44	120
210	210.00	33	153
211	211.00	51	139
212	212.00	40	132
213	213.00	51	158
214	214.00	47	160
215	215.00	54	125
216	216.00	43	134
217	217.00	49	117
218	218.00	40	123
219	219.00	53	111
220	220.00	46	116
221	221.00	43	92
222	222.00	37	101
223	223.00	57	103
224	224.00	36	131
225	225.00	38	114
226	226.00	34	127
227	227.00	32	140
228	228.00	38	155
229	229.00	42	137
230	230.00	45	158
231	231.00	38	129
232	232.00	48	118
233	233.00	34	116
234	234.00	53	118
235	235.00	50	122
236	236.00	41	134
237	237.00	39	114
238	238.00	55	126
239	239.00	52	125
240	240.00	58	115
241	241.00	38	117
242	242.00	60	134
243	243.00	52	131
244	244.00	48	145
245	245.00	41	119
246	246.00	42	151
247	247.00	45	134
248	248.00	47	147
249	249.00	38	127
250	250.00	37	128
251	251.00	48	101
252	252.00	43	128
253	253.00	42	111
254	254.00	41	115
255	255.00	49	86
256	256.00	46	122
257	257.00	40	123
258	258.00	44	120
259	259.00	42	125
260	260.00	50	122
261	261.00	38	119
262	262.00	41	137
263	263.00	35	115
264	264.00	25	140
265	265.00	50	123
266	266.00	43	123
267	267.00	45	131
268	268.00	47	126
269	269.00	59	117
270	270.00	52	119
271	271.00	38	104
272	272.00	59	115
273	273.00	46	101
274	274.00	57	127
275	275.00	36	114
276	276.00	47	122
277	277.00	40	112
278	278.00	34	134
279	279.00	43	139
280	280.00	45	152
281	281.00	46	130
282	282.00	36	129
283	283.00	50	129
284	284.00	42	143
285	285.00	47	120
286	286.00	50	136
287	287.00	46	117
288	288.00	54	126
289	289.00	39	122
290	290.00	39	105
291	291.00	50	103
292	292.00	37	115
293	293.00	48	111
294	294.00	36	136
295	295.00	54	118
296	296.00	47	123
297	297.00	42	128
298	298.00	42	149
299	299.00	38	133
300	300.00	51	159
301	301.00	44	153
302	302.00	44	143
303	303.00	42	122
304	304.00	19	72
* end: 09.06.2021 22:00:59
